Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Yoane Wissa,11.0,cd COD,"FW,AM",28-243,90,1,0,0,0,4,2,0,0,28,1,0,1,1.2,1.2,0.0,1,0,9,16,56.3,0,14,1,1,0,Brentford
Kevin Schade,7.0,de GER,LW,23-158,71,2,0,0,0,4,3,0,0,24,1,0,2,1.2,1.2,0.0,0,0,3,11,27.3,0,4,0,2,0,Brentford
Rico Henry,3.0,jm JAM,LB,27-300,19,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,5,0,0,0,Brentford
Bryan Mbeumo,19.0,cm CMR,RW,25-270,90,0,0,0,0,2,0,0,0,56,1,0,2,0.1,0.1,0.1,3,1,30,46,65.2,2,29,4,4,2,Brentford
Mikkel Damsgaard,24.0,dk DEN,AM,24-305,80,0,0,0,0,0,0,0,0,54,4,1,2,0.0,0.0,0.2,2,0,27,42,64.3,4,29,1,3,2,Brentford
Thiago,9.0,br BRA,"FW,AM",23-312,10,0,0,0,0,0,0,0,0,8,1,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,1,1,Brentford
Yehor Yarmoliuk,18.0,ua UKR,DM,21-064,67,0,0,0,0,0,0,0,0,46,2,0,1,0.0,0.0,0.5,1,0,36,43,83.7,4,24,1,0,0,Brentford
Mathias Jensen,8.0,dk DEN,DM,29-123,23,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,1,10,11,90.9,1,2,0,0,0,Brentford
Christian Nørgaard,6.0,dk DEN,DM,31-055,90,0,1,0,0,1,1,0,0,66,2,2,3,0.2,0.2,0.2,1,1,37,52,71.2,7,19,0,1,0,Brentford
Keane Lewis-Potter,23.0,eng ENG,"LB,LW",24-071,80,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,2,0,31,39,79.5,2,27,0,2,0,Brentford
Gustavo Nunes,39.0,br BRA,LW,19-165,10,0,0,0,0,0,0,0,0,5,3,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,1,0,0,Brentford
Sepp van den Berg,4.0,nl NED,CB,23-135,90,0,0,0,0,1,0,0,0,53,2,1,2,0.1,0.1,0.4,1,0,44,46,95.7,4,26,1,0,0,Brentford
Nathan Collins,22.0,ie IRL,CB,24-004,90,0,0,0,0,0,0,0,0,55,1,0,2,0.0,0.0,0.0,0,0,37,43,86.0,4,29,0,0,0,Brentford
Michael Kayode,33.0,it ITA,RB,20-298,80,0,1,0,0,0,0,0,0,59,2,2,0,0.0,0.0,0.8,4,2,37,41,90.2,3,28,4,9,5,Brentford
Kristoffer Ajer,20.0,no NOR,RB,27-017,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,2,2,0,0,0,Brentford
Mark Flekken,1.0,nl NED,GK,31-325,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,2,0,35,45,77.8,0,32,0,0,0,Brentford
16 Players,,,,,990,3,2,0,0,12,6,0,0,572,20,6,18,2.8,2.8,2.3,18,5,349,455,76.7,33,272,13,23,10,Brentford
Chidozie Obi-Martin,56.0,dk DEN,FW,17-156,90,0,0,0,0,2,0,0,0,17,0,0,0,0.3,0.3,0.0,2,0,9,10,90.0,0,9,0,2,1,Manchester United
