Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Neal Maupay,7.0,fr FRA,"FW,RW",23-140,90,0,0,0,0,1,1,1,0,39,1,0,2,0.3,0.3,0.1,4,0,20,26,76.9,4,26,2,2,0,Brighton & Hove Albion
Leandro Trossard,11.0,be BEL,"FW,LM,LW",25-028,90,0,0,0,0,2,1,0,0,50,3,1,0,0.1,0.1,0.1,7,1,23,35,65.7,4,31,2,2,0,Brighton & Hove Albion
Aaron Mooy,18.0,au AUS,"AM,RM",29-108,67,0,0,0,0,0,0,0,0,43,2,0,2,0.0,0.0,0.1,3,0,19,31,61.3,1,15,0,0,0,Brighton & Hove Albion
Alireza Jahanbakhsh,16.0,ir IRN,RM,26-143,23,1,0,0,0,3,1,0,0,12,0,0,0,0.2,0.2,0.6,4,0,8,8,100.0,3,9,1,1,1,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,LM,23-124,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,14,24,58.3,0,13,1,1,0,Brighton & Hove Albion
Aaron Connolly,44.0,ie IRL,FW,19-338,45,0,0,0,0,2,1,0,0,11,0,0,1,0.3,0.3,0.0,2,0,4,5,80.0,1,9,1,0,0,Brighton & Hove Albion
Steven Alzate,46.0,co COL,"RM,CM,LM",21-115,90,0,0,0,0,3,0,0,0,52,3,2,1,0.2,0.2,0.0,1,0,25,35,71.4,0,23,1,2,1,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,"CM,DM",28-121,90,0,0,0,0,1,0,0,0,80,2,0,3,0.0,0.0,0.0,1,0,54,64,84.4,7,40,3,4,2,Brighton & Hove Albion
Dan Burn,33.0,eng ENG,LB,27-237,21,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,1,0,6,9,66.7,1,2,1,0,0,Brighton & Hove Albion
