Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Neal Maupay,9.0,fr FRA,FW,24-241,86,0,0,0,0,3,0,0,0,32,1,0,0,0.2,0.2,0.1,5,0,15,22,68.2,3,19,2,0,0,Brighton & Hove Albion
Alireza Jahanbakhsh,16.0,ir IRN,RW,27-244,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Brighton & Hove Albion
Danny Welbeck,18.0,eng ENG,"AM,FW",30-137,90,0,0,0,0,3,1,0,0,27,1,0,0,0.2,0.2,0.1,5,0,15,17,88.2,2,13,1,0,0,Brighton & Hove Albion
Leandro Trossard,11.0,be BEL,"AM,LW",26-129,90,0,0,0,0,4,0,0,0,41,0,2,2,0.2,0.2,0.1,6,0,23,30,76.7,2,25,4,3,2,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,"CM,DM",24-225,90,0,0,0,0,3,0,0,0,70,5,0,2,0.1,0.1,0.1,6,0,46,55,83.6,4,38,3,3,3,Brighton & Hove Albion
Adam Lallana,14.0,eng ENG,"CM,DM",32-337,90,0,0,0,0,4,1,0,0,67,2,2,1,0.2,0.2,0.1,5,0,45,57,78.9,7,34,2,1,1,Brighton & Hove Albion
Jakub Moder,15.0,pl POL,WB,22-005,86,0,0,0,0,4,0,0,0,46,4,0,4,0.1,0.1,0.1,2,0,15,30,50.0,1,18,0,0,0,Brighton & Hove Albion
Dan Burn,33.0,eng ENG,LB,28-338,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,1,0,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,"WB,AM",29-301,90,0,0,0,0,1,0,0,0,68,2,2,0,0.1,0.1,0.1,8,0,39,58,67.2,5,27,1,0,0,Brighton & Hove Albion
Joël Veltman,34.0,nl NED,"CB,RB",29-087,90,0,0,0,0,0,0,0,0,85,0,2,0,0.0,0.0,0.0,1,0,62,79,78.5,11,45,4,0,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,29-142,90,0,0,0,0,1,1,1,0,90,1,0,2,0.0,0.0,0.0,0,0,76,80,95.0,1,52,0,0,0,Brighton & Hove Albion
Ben White,3.0,eng ENG,CB,23-186,90,0,0,0,0,0,0,0,0,85,1,3,3,0.0,0.0,0.1,3,0,62,73,84.9,8,51,4,0,0,Brighton & Hove Albion
Robert Sánchez,26.0,es ESP,GK,23-145,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,15,0,0,0,Brighton & Hove Albion
13 Players,,,,,990,0,0,0,0,23,3,1,0,650,18,11,14,1.2,1.2,0.7,41,0,428,537,79.7,44,339,22,7,6,Brighton & Hove Albion
Richarlison,7.0,br BRA,FW,23-337,90,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,1,0,13,23,56.5,3,15,2,2,0,Everton
James Rodríguez,19.0,co COL,"FW,CM",29-274,90,0,0,0,0,2,1,0,0,49,0,2,0,0.1,0.1,0.0,2,0,31,42,73.8,3,25,1,2,2,Everton
Gylfi Sigurðsson,10.0,is ISL,CM,31-216,90,0,0,0,0,1,0,0,0,50,3,1,0,0.0,0.0,0.0,2,0,31,41,75.6,4,20,1,3,2,Everton
Mason Holgate,4.0,jm JAM,"CM,CB",24-172,90,0,0,0,0,0,0,1,0,48,0,3,2,0.0,0.0,0.0,0,0,32,38,84.2,3,12,0,0,0,Everton
Tom Davies,26.0,eng ENG,CM,22-286,87,0,0,0,0,3,0,0,0,47,1,2,2,0.1,0.1,0.0,2,0,31,36,86.1,3,24,1,1,1,Everton
Nathan Broadhead,34.0,wls WAL,FW,23-007,3,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Everton
Lucas Digne,12.0,fr FRA,LB,27-266,90,0,0,0,0,0,0,0,0,61,0,1,0,0.0,0.0,0.0,1,0,35,56,62.5,3,14,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,28-091,90,0,0,0,0,0,0,1,0,59,0,3,3,0.0,0.0,0.0,0,0,41,47,87.2,1,26,0,0,0,Everton
Yerry Mina,13.0,co COL,CB,26-201,57,0,0,0,0,0,0,0,0,41,0,3,1,0.0,0.0,0.0,0,0,32,36,88.9,0,21,0,0,0,Everton
Alex Iwobi,17.0,ng NGA,"FW,CM",24-344,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,7,100.0,1,8,1,0,0,Everton
Ben Godfrey,22.0,eng ENG,CB,23-087,90,0,0,0,0,1,0,0,0,64,2,1,2,0.0,0.0,0.0,0,0,34,52,65.4,2,23,0,1,0,Everton
Séamus Coleman,23.0,ie IRL,RB,32-183,90,0,0,0,0,0,0,0,0,48,0,3,5,0.0,0.0,0.2,5,0,24,31,77.4,3,23,2,4,4,Everton
Robin Olsen,33.0,se SWE,GK,31-094,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,21,33,63.6,0,16,0,0,0,Everton
13 Players,,,,,990,0,0,0,0,8,1,2,0,551,7,19,16,0.4,0.4,0.2,13,0,334,444,75.2,26,227,8,13,9,Everton
