Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Tomer Hemed,10.0,il ISR,FW,30-102,59,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,5,15,33.3,0,8,1,0,0,Brighton & Hove Albion
Glenn Murray,17.0,eng ENG,FW,33-321,31,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,1,1,Brighton & Hove Albion
Pascal Groß,13.0,de GER,FW,26-058,90,0,0,0,0,0,0,0,0,41,1,0,3,0.0,0.0,0.1,2,0,15,34,44.1,3,13,0,0,0,Brighton & Hove Albion
Izzy Brown,37.0,eng ENG,LM,20-217,23,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,4,0,1,1,Brighton & Hove Albion
Jamie Murphy,15.0,sct SCO,LM,27-349,67,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,1,0,6,8,75.0,0,8,1,0,0,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,CM,25-344,90,0,0,0,0,2,0,0,0,24,1,1,1,0.0,0.0,0.0,1,0,8,15,53.3,1,8,1,2,2,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,CM,28-061,90,0,0,0,0,0,0,0,0,27,0,3,0,0.0,0.0,0.0,0,0,13,19,68.4,1,11,0,0,0,Brighton & Hove Albion
Solly March,20.0,eng ENG,RM,23-023,74,0,0,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.0,1,0,16,20,80.0,0,14,0,2,2,Brighton & Hove Albion
Anthony Knockaert,11.0,fr FRA,RM,25-265,16,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,0,1,0,Brighton & Hove Albion
Markus Suttner,29.0,at AUT,LB,30-118,90,0,0,0,0,0,0,0,0,39,2,1,1,0.0,0.0,0.0,0,0,17,28,60.7,0,11,0,1,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,25-264,90,0,0,0,0,3,2,0,0,28,0,3,2,0.2,0.2,0.0,3,0,8,12,66.7,0,7,0,0,0,Brighton & Hove Albion
