Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Glenn Murray,17.0,eng ENG,FW,34-221,89,0,0,0,0,2,1,1,0,44,0,0,0,0.1,0.1,0.0,1,1,14,32,43.8,0,29,0,1,0,Brighton & Hove Albion
Leonardo Ulloa,16.0,ar ARG,FW,31-282,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Brighton & Hove Albion
José Izquierdo,19.0,co COL,LW,25-301,87,0,0,0,0,3,1,0,0,27,0,2,0,0.1,0.1,0.0,2,0,13,19,68.4,0,19,4,2,1,Brighton & Hove Albion
Solly March,20.0,eng ENG,LW,23-288,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Brighton & Hove Albion
Anthony Knockaert,11.0,fr FRA,RW,26-165,90,0,0,0,0,2,0,0,0,45,2,0,2,0.1,0.1,0.1,7,0,20,29,69.0,6,27,5,9,8,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,"LM,CM",26-244,90,0,0,0,0,0,0,0,0,38,5,1,2,0.0,0.0,0.0,4,1,23,28,82.1,4,18,0,2,2,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,CM,28-326,90,0,0,0,0,1,0,0,0,47,4,3,0,0.0,0.0,0.0,1,0,28,37,75.7,5,24,1,0,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,RM,26-323,83,1,0,0,0,2,2,1,0,42,0,0,1,0.6,0.6,0.1,3,0,21,36,58.3,5,20,1,0,0,Brighton & Hove Albion
Beram Kayal,7.0,il ISR,"CM,RW",30-002,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Brighton & Hove Albion
Gaëtan Bong,3.0,cm CMR,LB,30-009,90,0,0,0,0,0,0,0,0,29,2,0,3,0.0,0.0,0.0,0,0,16,23,69.6,1,10,1,1,1,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,26-164,90,0,0,0,0,0,0,0,0,47,0,2,3,0.0,0.0,0.0,0,0,27,33,81.8,1,24,0,0,0,Brighton & Hove Albion
Shane Duffy,22.0,ie IRL,CB,26-123,90,0,0,0,0,1,0,0,0,39,1,0,1,0.0,0.0,0.0,0,0,22,27,81.5,1,22,0,1,1,Brighton & Hove Albion
Bruno,2.0,es ESP,RB,37-215,90,0,0,0,0,0,0,0,0,50,5,2,0,0.0,0.0,0.1,3,0,30,42,71.4,2,16,0,1,1,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,26-026,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,35,54.3,0,20,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,1,0,0,0,11,4,2,0,446,19,10,12,1.0,1.0,0.4,21,2,233,341,68.3,25,229,12,17,14,Brighton & Hove Albion
Marcus Rashford,19.0,eng ENG,FW,20-185,90,0,0,0,0,3,1,0,0,39,0,0,0,0.1,0.1,0.1,4,0,22,27,81.5,2,18,1,3,1,Manchester United
Anthony Martial,11.0,fr FRA,LW,22-150,90,0,0,0,0,3,0,0,0,67,0,0,0,0.1,0.1,0.2,5,0,48,57,84.2,0,45,2,7,4,Manchester United
Juan Mata,8.0,es ESP,RW,30-006,90,0,0,0,0,2,0,0,0,78,0,0,1,0.1,0.1,0.1,7,0,66,75,88.0,1,48,1,0,0,Manchester United
Paul Pogba,6.0,fr FRA,"LM,DM",25-050,90,0,0,0,0,5,1,0,0,108,2,0,0,0.2,0.2,0.0,2,0,72,89,80.9,14,73,5,6,4,Manchester United
Nemanja Matić,31.0,rs SRB,"CM,CB,DM",29-276,90,0,0,0,0,0,0,0,0,116,2,3,3,0.0,0.0,0.1,6,0,97,104,93.3,7,78,2,5,4,Manchester United
Marouane Fellaini,27.0,be BEL,RM,30-163,67,0,0,0,0,1,0,0,0,74,0,1,0,0.1,0.1,0.0,1,0,60,66,90.9,4,52,1,1,1,Manchester United
Jesse Lingard,14.0,eng ENG,AM,25-140,23,0,0,0,0,2,1,0,0,21,0,1,0,0.1,0.1,0.0,2,0,16,18,88.9,4,15,1,0,0,Manchester United
Ashley Young,18.0,eng ENG,"LB,RB",32-299,90,0,0,0,0,0,0,0,0,74,1,2,0,0.0,0.0,0.0,2,0,55,66,83.3,2,35,1,0,0,Manchester United
Marcos Rojo,5.0,ar ARG,CB,28-045,75,0,0,0,0,0,0,0,0,71,1,0,2,0.0,0.0,0.0,0,0,55,62,88.7,0,44,2,0,0,Manchester United
Scott McTominay,39.0,sct SCO,DM,21-147,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,4,1,0,0,Manchester United
Chris Smalling,12.0,eng ENG,CB,28-163,90,0,0,0,0,0,0,0,0,64,0,4,2,0.0,0.0,0.0,0,0,49,54,90.7,4,30,0,0,0,Manchester United
Matteo Darmian,36.0,it ITA,RB,28-153,67,0,0,0,0,0,0,0,0,56,1,1,1,0.0,0.0,0.0,1,0,41,49,83.7,4,30,0,1,0,Manchester United
Luke Shaw,23.0,eng ENG,LB,22-296,23,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,2,0,21,24,87.5,1,16,2,3,3,Manchester United
David de Gea,1.0,es ESP,GK,27-178,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,19,25,76.0,0,11,0,0,0,Manchester United
14 Players,,,,,990,0,0,0,0,16,3,0,0,828,8,12,10,0.8,0.8,0.6,32,0,627,722,86.8,44,499,19,26,17,Manchester United
