Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Georginio Rutter,10.0,fr FRA,FW,23-244,90,0,0,0,0,5,1,0,0,28,0,1,0,0.3,0.3,0.0,3,0,8,14,57.1,4,18,2,4,1,Brighton & Hove Albion
Maxim De Cuyper,29.0,be BEL,LW,24-363,63,0,0,0,0,1,0,0,0,36,0,1,2,0.0,0.0,0.0,2,0,13,26,50.0,0,18,3,0,0,Brighton & Hove Albion
Kaoru Mitoma,22.0,jp JPN,LW,28-214,27,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,2,0,9,14,64.3,0,14,3,5,1,Brighton & Hove Albion
Yankuba Minteh,11.0,gm GAM,RW,21-151,70,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,1,0,7,16,43.8,0,18,3,4,2,Brighton & Hove Albion
Charalampos Kostoulas,19.0,gr GRE,AM,18-204,20,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.3,2,0,5,6,83.3,1,3,1,2,1,Brighton & Hove Albion
Brajan Gruda,8.0,de GER,"AM,RW",21-203,86,0,0,0,0,2,1,1,0,62,2,1,1,0.1,0.1,0.2,9,0,34,40,85.0,6,39,2,10,3,Brighton & Hove Albion
Tom Watson,14.0,eng ENG,RW,19-256,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Brighton & Hove Albion
Jack Hinshelwood,13.0,eng ENG,DM,20-253,70,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,32,35,91.4,1,25,1,0,0,Brighton & Hove Albion
James Milner,20.0,eng ENG,DM,39-350,20,0,0,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.0,2,0,23,25,92.0,4,19,2,0,0,Brighton & Hove Albion
