Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ashley Barnes,10.0,eng ENG,FW,29-340,72,0,0,0,0,2,0,0,0,18,2,0,0,0.1,0.1,0.0,0,0,3,8,37.5,0,9,0,0,0,Burnley
Jay Rodriguez,19.0,eng ENG,FW,30-068,18,0,0,0,0,1,1,0,0,7,2,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,5,2,0,0,Burnley
Chris Wood,9.0,nz NZL,FW,27-302,90,0,0,0,0,1,0,0,0,23,2,0,0,0.1,0.1,0.0,0,0,9,17,52.9,1,14,0,0,0,Burnley
Dwight McNeil,11.0,eng ENG,LM,19-317,90,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,2,0,25,37,67.6,2,31,8,4,2,Burnley
Ashley Westwood,18.0,eng ENG,CM,29-187,90,0,1,0,0,0,0,1,0,72,1,2,1,0.0,0.0,0.2,4,1,49,64,76.6,7,30,1,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,CM,27-247,90,1,0,0,0,1,1,1,0,41,1,1,0,0.1,0.1,0.1,1,0,27,37,73.0,3,22,1,0,0,Burnley
Jóhann Berg Guðmundsson,7.0,is ISL,RM,28-343,83,0,0,0,0,3,1,0,0,30,1,1,1,0.2,0.2,0.0,1,0,13,23,56.5,1,14,3,0,0,Burnley
Aaron Lennon,25.0,eng ENG,RM,32-172,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,Burnley
Erik Pieters,23.0,nl NED,LB,31-059,54,0,0,0,0,1,0,0,0,44,1,1,1,0.0,0.0,0.1,1,0,24,34,70.6,0,12,1,1,0,Burnley
Charlie Taylor,3.0,eng ENG,LB,26-017,36,0,0,0,0,0,0,0,0,27,2,2,0,0.0,0.0,0.1,1,0,16,20,80.0,1,11,2,3,1,Burnley
Ben Mee,6.0,eng ENG,CB,30-014,90,0,0,0,0,0,0,0,0,44,1,3,4,0.0,0.0,0.0,2,0,16,31,51.6,1,15,0,0,0,Burnley
James Tarkowski,5.0,eng ENG,CB,26-320,90,0,0,0,0,0,0,0,0,46,1,3,0,0.0,0.0,0.1,1,0,21,31,67.7,2,13,0,1,1,Burnley
Matthew Lowton,2.0,eng ENG,RB,30-118,90,0,0,0,0,0,0,0,0,49,0,2,1,0.0,0.0,0.0,0,0,24,40,60.0,3,21,0,1,1,Burnley
Nick Pope,1.0,eng ENG,GK,27-169,90,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,1,0,12,25,48.0,0,13,0,0,0,Burnley
14 Players,,,,,990,1,1,0,0,9,3,2,0,485,15,18,8,0.6,0.6,0.5,15,1,246,377,65.3,21,214,18,10,5,Burnley
Dominic Calvert-Lewin,9.0,eng ENG,FW,22-203,73,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,3,12,25.0,1,6,0,0,0,Everton
Moise Kean,27.0,it ITA,FW,19-219,17,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,1,8,0,3,1,Everton
Alex Iwobi,17.0,ng NGA,LW,23-155,90,0,0,0,0,3,0,0,0,46,1,0,1,0.5,0.5,0.0,3,0,28,37,75.7,6,30,6,0,0,Everton
Richarlison,7.0,br BRA,RW,22-148,90,0,0,0,0,2,1,0,0,42,3,1,0,0.1,0.1,0.1,1,0,13,25,52.0,1,31,4,4,2,Everton
Gylfi Sigurðsson,10.0,is ISL,AM,30-027,58,0,0,0,0,2,1,0,0,25,0,0,1,0.1,0.1,0.5,3,0,15,20,75.0,3,15,1,0,0,Everton
Djibril Sidibé,19.0,fr FRA,RB,27-068,32,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,22,26,84.6,1,18,1,0,0,Everton
Fabian Delph,8.0,eng ENG,DM,29-318,90,0,0,0,0,1,0,0,0,70,1,1,3,0.0,0.0,0.1,3,0,49,61,80.3,7,44,2,2,1,Everton
Morgan Schneiderlin,18.0,fr FRA,DM,29-331,83,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,3,0,44,50,88.0,4,38,0,0,0,Everton
André Gomes,21.0,pt POR,DM,26-067,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,2,0,0,0,0,Everton
Lucas Digne,12.0,fr FRA,LB,26-077,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.2,3,0,41,67,61.2,1,43,1,0,0,Everton
Yerry Mina,13.0,co COL,CB,25-012,90,0,0,0,0,1,0,0,0,80,0,2,1,0.0,0.0,0.0,0,0,55,71,77.5,7,50,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,26-267,90,0,0,0,0,2,0,0,0,78,2,2,0,0.5,0.5,0.0,0,0,56,69,81.2,4,46,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,30-359,55,0,0,0,0,0,0,2,1,49,1,0,0,0.0,0.0,0.1,2,0,33,43,76.7,4,35,3,3,1,Everton
Jordan Pickford,1.0,eng ENG,GK,25-212,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,24,39,61.5,0,21,0,0,0,Everton
14 Players,,,,,955,0,0,0,0,11,2,3,1,610,9,7,8,1.3,1.3,0.9,19,0,392,529,74.1,42,385,18,12,5,Everton
