Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Lyle Foster,9.0,za RSA,FW,25-011,85,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,0,3,13,23.1,0,9,0,0,0,Burnley
Joe Worrall,4.0,eng ENG,"CB,FW",28-247,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Burnley
Jaidon Anthony,11.0,eng ENG,"LM,RM",25-287,88,0,0,0,0,1,0,0,0,29,2,1,1,0.1,0.1,0.0,2,0,5,12,41.7,0,16,3,5,1,Burnley
Armando Broja,27.0,al ALB,"FW,RM",24-004,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Burnley
Lesley Ugochukwu,8.0,fr FRA,CM,21-172,83,0,0,0,0,0,0,2,1,21,3,1,2,0.0,0.0,0.0,0,0,3,8,37.5,0,5,0,0,0,Burnley
Josh Cullen,24.0,ie IRL,CM,29-160,62,0,0,0,0,0,0,0,0,26,1,2,3,0.0,0.0,0.0,0,0,12,16,75.0,4,5,0,0,0,Burnley
Florentino Luís,16.0,pt POR,CM,26-026,28,0,0,0,0,0,0,0,0,16,3,1,2,0.0,0.0,0.0,0,0,7,8,87.5,1,0,0,1,0,Burnley
Loum Tchaouna,17.0,fr FRA,RM,22-006,62,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,0,5,9,55.6,2,4,1,0,0,Burnley
Hannibal Mejbri,28.0,tn TUN,"RM,LM,CM",22-236,28,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,1,0,Burnley
Quilindschy Hartman,3.0,nl NED,LB,23-304,90,0,0,0,0,0,0,0,0,38,2,6,0,0.0,0.0,0.0,1,0,8,22,36.4,2,9,0,0,0,Burnley
Maxime Estève,5.0,fr FRA,CB,23-111,90,0,0,0,0,0,0,0,0,32,0,1,3,0.0,0.0,0.0,0,0,12,16,75.0,0,4,0,0,0,Burnley
