Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Nicolas Jackson,15.0,sn SEN,FW,22-289,90,0,0,0,0,1,1,0,0,35,1,0,0,0.1,0.1,0.1,5,0,23,27,85.2,5,19,4,3,1,Chelsea
Mykhailo Mudryk,10.0,ua UKR,LW,23-090,70,0,0,0,0,3,1,0,0,33,0,1,0,0.1,0.1,0.0,4,1,19,26,73.1,1,21,5,1,1,Chelsea
Raheem Sterling,7.0,eng ENG,LW,29-118,20,0,0,0,0,0,0,0,0,20,0,0,2,0.0,0.0,0.0,1,0,10,13,76.9,1,15,2,1,0,Chelsea
Cole Palmer,20.0,eng ENG,"RW,AM",21-334,90,3,0,2,2,7,3,0,0,70,1,2,1,1.8,0.3,0.6,11,0,34,50,68.0,5,41,11,3,1,Chelsea
Conor Gallagher,23.0,eng ENG,AM,24-058,88,1,0,0,0,4,1,0,0,51,1,2,1,0.4,0.4,0.1,4,0,27,34,79.4,3,28,1,1,1,Chelsea
Noni Madueke,11.0,eng ENG,RW,22-025,2,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,2,2,2,2,100.0,1,3,2,1,1,Chelsea
Enzo Fernández,8.0,ar ARG,DM,23-078,90,0,1,0,0,2,1,1,0,90,0,0,2,0.2,0.2,0.1,8,1,71,84,84.5,13,52,3,0,0,Chelsea
Moisés Caicedo,25.0,ec ECU,DM,22-154,70,0,0,0,0,1,0,1,0,61,1,1,3,0.0,0.0,0.0,1,0,43,48,89.6,6,30,2,1,0,Chelsea
Carney Chukwuemeka,17.0,eng ENG,DM,20-167,20,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,3,1,11,11,100.0,3,11,0,3,0,Chelsea
Marc Cucurella,3.0,es ESP,LB,25-257,90,0,0,0,0,1,0,0,0,60,2,1,1,0.1,0.1,0.0,3,1,39,50,78.0,2,20,0,1,0,Chelsea
Benoît Badiashile,5.0,fr FRA,CB,23-009,90,0,0,0,0,1,0,0,0,74,0,0,2,0.0,0.0,0.0,0,0,61,67,91.0,2,43,0,0,0,Chelsea
Axel Disasi,2.0,fr FRA,CB,26-024,74,0,0,0,0,3,0,0,0,62,2,0,3,0.2,0.2,0.1,3,0,43,54,79.6,3,34,2,0,0,Chelsea
Trevoh Chalobah,14.0,eng ENG,CB,24-274,16,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,23,25,92.0,1,16,0,0,0,Chelsea
Malo Gusto,27.0,fr FRA,RB,20-321,74,0,0,0,0,0,0,1,0,48,2,0,2,0.0,0.0,0.2,5,0,38,43,88.4,5,22,3,1,1,Chelsea
Alfie Gilchrist,42.0,eng ENG,RB,20-128,16,0,0,0,0,1,0,0,0,22,1,0,1,0.0,0.0,0.0,0,0,17,18,94.4,1,6,0,0,0,Chelsea
Đorđe Petrović,28.0,rs SRB,GK,24-179,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,35,39,89.7,0,21,0,0,0,Chelsea
16 Players,,,,,990,4,1,2,2,26,8,3,0,711,12,8,18,3.0,1.4,1.3,50,6,496,591,83.9,52,382,35,16,6,Chelsea
Rasmus Højlund,11.0,dk DEN,FW,21-060,65,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.3,5,0,8,13,61.5,1,11,2,2,0,Manchester United
Marcus Rashford,10.0,eng ENG,FW,26-156,25,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,1,8,11,72.7,0,9,0,0,0,Manchester United
Alejandro Garnacho,17.0,ar ARG,LW,19-278,85,2,0,0,0,4,2,0,0,47,0,1,1,0.6,0.6,0.0,4,1,22,32,68.8,2,36,7,3,0,Manchester United
Mason Mount,7.0,eng ENG,LW,25-085,5,0,0,0,0,0,0,0,0,15,2,2,0,0.0,0.0,0.0,0,0,12,12,100.0,0,11,0,1,0,Manchester United
Antony,21.0,br BRA,RW,24-040,90,0,1,0,0,3,1,0,0,48,2,0,2,0.1,0.1,0.3,5,1,34,39,87.2,5,40,5,7,6,Manchester United
Bruno Fernandes,8.0,pt POR,AM,29-209,90,1,0,0,0,5,1,0,0,79,1,0,1,0.5,0.5,0.1,7,0,57,71,80.3,7,48,3,0,0,Manchester United
Kobbie Mainoo,37.0,eng ENG,DM,18-351,90,0,0,0,0,1,1,0,0,47,3,3,1,0.0,0.0,0.0,4,0,23,32,71.9,1,29,1,1,0,Manchester United
Casemiro,18.0,br BRA,DM,32-041,74,0,0,0,0,1,0,0,0,53,0,0,4,0.1,0.1,0.0,0,0,39,46,84.8,7,32,0,1,1,Manchester United
Scott McTominay,39.0,sct SCO,DM,27-118,16,0,0,0,0,0,0,0,0,12,2,1,1,0.0,0.0,0.0,0,0,6,8,75.0,0,4,1,0,0,Manchester United
Diogo Dalot,20.0,pt POR,LB,25-017,90,0,1,0,0,1,0,0,0,55,3,3,0,0.0,0.0,0.3,3,1,36,46,78.3,1,34,1,1,1,Manchester United
Raphaël Varane,19.0,fr FRA,CB,30-345,45,0,0,0,0,0,0,0,0,35,1,1,3,0.0,0.0,0.0,1,0,27,30,90.0,3,23,1,0,0,Manchester United
Jonny Evans,35.0,nir NIR,CB,36-092,20,0,0,0,0,0,0,0,0,9,0,1,3,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Manchester United
Willy Kambwala,53.0,fr FRA,CB,19-223,25,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,6,0,0,0,Manchester United
Harry Maguire,5.0,eng ENG,CB,31-030,90,0,0,0,0,3,0,1,0,50,0,2,0,0.1,0.1,0.0,2,0,32,39,82.1,3,28,1,0,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,26-130,90,0,0,0,0,0,0,0,0,44,3,4,3,0.0,0.0,0.0,1,0,21,27,77.8,1,17,2,2,1,Manchester United
André Onana,24.0,cm CMR,GK,28-002,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,27,36,75.0,0,29,0,0,0,Manchester United
16 Players,,,,,990,3,2,0,0,19,5,1,0,581,18,18,20,1.5,1.5,1.0,33,4,362,454,79.7,31,361,24,18,9,Manchester United
