Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Olivier Giroud,18.0,fr FRA,FW,33-300,77,1,0,0,0,2,1,1,0,39,1,0,1,0.8,0.8,0.0,2,1,19,29,65.5,0,23,1,2,2,Chelsea
Tammy Abraham,9.0,eng ENG,FW,22-298,13,0,0,0,0,2,1,0,0,9,1,0,0,0.2,0.2,0.0,0,0,2,3,66.7,0,6,2,1,1,Chelsea
Christian Pulisic,22.0,us USA,LW,21-312,77,0,0,0,0,1,0,0,0,48,1,0,1,0.0,0.0,0.0,3,0,20,32,62.5,3,40,4,3,0,Chelsea
Callum Hudson-Odoi,20.0,eng ENG,LW,19-262,13,0,0,0,0,0,0,0,0,11,0,1,1,0.0,0.0,0.0,0,0,7,8,87.5,1,9,1,0,0,Chelsea
Mason Mount,19.0,eng ENG,RW,21-198,84,1,1,0,0,2,1,0,0,48,1,0,0,0.1,0.1,1.0,4,1,34,40,85.0,6,35,3,2,0,Chelsea
Pedro,11.0,es ESP,RW,32-364,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,LM,29-211,90,0,0,0,0,2,0,0,0,86,5,1,0,0.1,0.1,0.1,2,1,59,70,84.3,3,42,3,2,1,Chelsea
Mateo Kovačić,17.0,hr CRO,CM,26-081,84,0,0,0,0,0,0,0,0,70,6,1,0,0.0,0.0,0.0,0,0,53,58,91.4,5,42,0,4,3,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,CM,24-185,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,1,1,Chelsea
Jorginho,5.0,it ITA,CM,28-219,87,0,0,0,0,0,0,0,0,90,1,2,0,0.0,0.0,0.0,3,0,79,87,90.8,6,60,0,0,0,Chelsea
Ross Barkley,8.0,eng ENG,CM,26-234,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Chelsea
Reece James,24.0,eng ENG,RM,20-231,90,0,0,0,0,1,0,0,0,64,5,0,0,0.1,0.1,0.1,1,0,37,54,68.5,0,40,2,0,0,Chelsea
Antonio Rüdiger,2.0,de GER,CB,27-145,90,0,0,0,0,0,0,0,0,90,5,0,2,0.0,0.0,0.0,1,0,65,80,81.3,4,59,1,0,0,Chelsea
Kurt Zouma,15.0,fr FRA,CB,25-273,90,0,0,0,0,0,0,0,0,78,0,2,2,0.0,0.0,0.0,0,0,62,66,93.9,2,53,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,30-333,90,0,0,0,0,1,0,1,0,107,4,1,2,0.1,0.1,0.0,1,1,70,95,73.7,9,53,0,0,0,Chelsea
Willy Caballero,13.0,ar ARG,GK,38-302,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,33,39,84.6,0,30,0,0,0,Chelsea
