Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jordan Ayew,9.0,gh GHA,FW,27-333,64,0,0,0,0,1,1,0,0,29,1,1,2,0.5,0.5,0.0,1,0,12,18,66.7,2,17,2,1,1,Crystal Palace
Wilfried Zaha,11.0,ci CIV,FW,26-273,26,0,0,0,0,1,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,6,50.0,2,9,5,2,2,Crystal Palace
Christian Benteke,17.0,be BEL,FW,28-250,82,0,0,0,0,0,0,0,0,21,2,1,2,0.0,0.0,0.5,3,0,6,15,40.0,2,4,2,0,0,Crystal Palace
Connor Wickham,21.0,eng ENG,FW,26-132,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,2,0,0,0,Crystal Palace
Max Meyer,7.0,de GER,LM,23-326,90,0,0,0,0,3,1,1,0,39,3,1,1,0.2,0.2,0.0,2,0,11,24,45.8,0,21,2,2,1,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,28-125,90,0,0,0,0,0,0,1,0,49,3,2,1,0.0,0.0,0.2,2,0,23,39,59.0,4,16,0,0,0,Crystal Palace
James McArthur,18.0,sct SCO,CM,31-307,90,0,0,0,0,0,0,0,0,46,5,3,3,0.0,0.0,0.1,1,0,20,34,58.8,2,21,1,2,2,Crystal Palace
Andros Townsend,10.0,eng ENG,RM,28-025,90,0,0,0,0,0,0,0,0,35,3,0,0,0.0,0.0,0.1,2,0,15,29,51.7,4,17,1,3,2,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LB,28-346,90,0,0,0,0,0,0,0,0,56,2,1,3,0.0,0.0,0.0,0,0,25,43,58.1,1,11,0,1,0,Crystal Palace
Scott Dann,6.0,eng ENG,CB,32-177,90,0,0,0,0,1,0,0,0,39,0,0,1,0.2,0.2,0.0,0,0,20,29,69.0,2,14,0,1,0,Crystal Palace
Martin Kelly,34.0,eng ENG,CB,29-105,90,0,0,0,0,0,0,0,0,31,0,0,2,0.0,0.0,0.0,0,0,13,20,65.0,2,12,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,29-285,90,0,0,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,0,0,16,30,53.3,2,8,0,0,0,Crystal Palace
Vicente Guaita,31.0,es ESP,GK,32-212,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,8,0,0,0,Crystal Palace
13 Players,,,,,990,0,0,0,0,6,2,2,0,427,21,10,16,0.9,0.9,0.9,11,0,179,318,56.3,23,160,13,12,8,Crystal Palace
Dominic Calvert-Lewin,9.0,eng ENG,FW,22-147,68,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,2,0,11,15,73.3,0,16,1,0,0,Everton
Moise Kean,27.0,it ITA,FW,19-163,22,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,1,1,Everton
Bernard,20.0,br BRA,LW,26-336,90,0,0,0,0,0,0,1,0,43,1,0,1,0.0,0.0,0.1,2,0,26,33,78.8,6,22,3,2,1,Everton
Richarlison,7.0,br BRA,RW,22-092,90,0,0,0,0,3,0,0,0,54,4,1,2,0.1,0.1,0.0,1,0,18,27,66.7,3,30,1,3,0,Everton
Gylfi Sigurðsson,10.0,is ISL,AM,29-336,78,0,0,0,0,4,1,0,0,34,1,0,0,0.5,0.5,0.1,1,0,16,25,64.0,1,21,0,1,1,Everton
Tom Davies,26.0,eng ENG,DM,21-041,12,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0,Everton
André Gomes,21.0,pt POR,DM,26-011,44,0,0,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.0,0,0,26,30,86.7,6,26,0,2,1,Everton
Jean-Philippe Gbamin,25.0,ci CIV,DM,23-319,46,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,24,31,77.4,6,27,0,0,0,Everton
Morgan Schneiderlin,18.0,fr FRA,DM,29-275,75,0,0,0,0,0,0,2,1,63,1,2,1,0.0,0.0,0.0,3,0,48,54,88.9,8,38,0,0,0,Everton
Lucas Digne,12.0,fr FRA,LB,26-021,90,0,0,0,0,1,0,0,0,70,0,0,0,0.0,0.0,0.1,3,0,36,60,60.0,5,39,2,2,0,Everton
Yerry Mina,13.0,co COL,CB,24-321,90,0,0,0,0,0,0,0,0,80,2,3,1,0.0,0.0,0.0,1,0,66,71,93.0,7,56,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,26-211,90,0,0,0,0,0,0,0,0,93,2,4,1,0.0,0.0,0.0,0,0,69,80,86.3,8,52,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,30-303,90,0,0,0,0,1,1,0,0,103,0,4,2,0.4,0.4,0.0,2,0,63,86,73.3,4,45,3,3,1,Everton
Jordan Pickford,1.0,eng ENG,GK,25-156,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,36,72.2,0,21,0,0,0,Everton
14 Players,,,,,975,0,0,0,0,10,2,3,1,690,14,14,11,1.2,1.2,0.4,15,0,438,558,78.5,54,402,10,14,5,Everton
