Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jean-Philippe Mateta,14.0,fr FRA,FW,26-101,90,0,0,0,0,2,1,0,0,20,1,0,0,0.2,0.2,0.0,0,0,8,11,72.7,0,10,0,2,1,Crystal Palace
Odsonne Édouard,22.0,fr FRA,"FW,LW",25-264,90,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.2,2,0,13,19,68.4,3,23,0,0,0,Crystal Palace
Jordan Ayew,9.0,gh GHA,"LM,RW",32-026,90,0,0,0,0,3,1,0,0,52,0,0,2,0.4,0.4,0.0,0,0,32,39,82.1,1,34,4,2,1,Crystal Palace
Jaïro Riedewald,44.0,nl NED,"CM,LM",27-028,74,0,0,0,0,0,0,0,0,46,3,1,0,0.0,0.0,0.0,0,0,30,39,76.9,2,23,1,1,1,Crystal Palace
Chris Richards,26.0,us USA,CM,23-193,16,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Crystal Palace
Will Hughes,19.0,eng ENG,CM,28-173,90,0,0,0,0,0,0,0,0,68,2,0,2,0.0,0.0,0.0,2,0,53,61,86.9,6,33,3,0,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,RM,30-288,25,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,1,0,Crystal Palace
Jesurun Rak Sakyi,49.0,eng ENG,RM,21-002,65,0,0,0,0,2,0,0,0,40,2,2,0,0.2,0.2,0.0,2,0,20,26,76.9,1,21,5,6,3,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,24-036,90,0,0,0,0,0,0,0,0,66,4,1,0,0.0,0.0,0.1,4,0,50,58,86.2,10,35,1,1,1,Crystal Palace
Marc Guéhi,6.0,eng ENG,CB,23-086,90,0,0,0,0,0,0,0,0,115,2,0,1,0.0,0.0,0.1,3,0,101,104,97.1,4,86,1,2,1,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,27-129,90,0,0,0,0,0,0,0,0,124,1,0,2,0.0,0.0,0.3,1,0,100,115,87.0,9,84,0,2,1,Crystal Palace
Nathaniel Clyne,17.0,eng ENG,RB,32-185,90,0,0,0,0,1,0,0,0,47,1,0,1,0.0,0.0,0.0,1,0,33,39,84.6,1,14,0,0,0,Crystal Palace
Sam Johnstone,1.0,eng ENG,GK,30-196,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,39,44,88.6,0,38,0,0,0,Crystal Palace
13 Players,,,,,990,0,0,0,0,8,2,0,0,664,18,6,8,0.8,0.8,0.7,15,0,483,561,86.1,37,404,15,17,9,Crystal Palace
Chris Wood,11.0,nz NZL,FW,31-304,75,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,1,0,11,15,73.3,0,11,1,1,0,Nottingham Forest
Divock Origi,27.0,be BEL,FW,28-172,15,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Nottingham Forest
Callum Hudson-Odoi,14.0,eng ENG,LW,22-334,65,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,2,0,23,28,82.1,1,22,2,6,3,Nottingham Forest
Anthony Elanga,21.0,se SWE,LW,21-163,25,0,0,0,0,1,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,1,10,1,1,0,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,RW,23-253,90,0,0,0,0,2,0,0,0,65,2,0,1,0.1,0.1,0.4,3,0,38,54,70.4,3,35,3,4,2,Nottingham Forest
Nicolás Domínguez,16.0,ar ARG,LM,25-101,90,0,0,0,0,1,1,0,0,70,1,1,0,0.0,0.0,0.0,5,0,56,65,86.2,10,32,2,0,0,Nottingham Forest
Orel Mangala,5.0,be BEL,CM,25-203,82,0,0,0,0,2,0,0,0,48,2,1,0,0.1,0.1,0.0,2,0,39,40,97.5,3,27,1,1,0,Nottingham Forest
Cheikhou Kouyaté,8.0,sn SEN,CM,33-290,8,0,0,0,0,1,0,0,0,11,0,1,0,0.1,0.1,0.0,2,0,8,9,88.9,0,4,0,0,0,Nottingham Forest
Ibrahim Sangaré,6.0,ci CIV,RM,25-309,75,0,0,0,0,0,0,0,0,33,4,0,1,0.0,0.0,0.1,2,0,22,24,91.7,2,20,1,2,1,Nottingham Forest
Ryan Yates,22.0,eng ENG,RM,25-320,15,0,0,0,0,0,0,1,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Nottingham Forest
Harry Toffolo,15.0,eng ENG,LB,28-049,90,0,0,0,0,1,1,0,0,67,4,2,1,0.0,0.0,0.0,1,0,41,53,77.4,6,34,1,1,0,Nottingham Forest
Murillo,40.0,br BRA,CB,21-095,90,0,0,0,0,2,2,0,0,65,2,0,1,0.4,0.4,0.1,5,0,48,58,82.8,6,46,1,2,2,Nottingham Forest
Willy Boly,30.0,ci CIV,CB,32-246,90,0,0,0,0,2,0,0,0,80,3,2,0,0.1,0.1,0.0,1,0,58,66,87.9,3,47,1,0,0,Nottingham Forest
Serge Aurier,24.0,ci CIV,RB,30-287,45,0,0,0,0,2,1,0,0,56,0,1,0,0.0,0.0,0.0,1,0,41,47,87.2,4,32,1,1,1,Nottingham Forest
Gonzalo Montiel,29.0,ar ARG,RB,26-279,45,0,0,0,0,2,0,0,0,22,0,1,0,0.1,0.1,0.0,1,0,15,16,93.8,2,8,0,0,0,Nottingham Forest
Matt Turner,1.0,us USA,GK,29-105,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,30,33,90.9,0,25,0,0,0,Nottingham Forest
16 Players,,,,,990,0,0,0,0,16,5,1,0,626,20,9,7,1.1,1.1,0.7,27,0,443,522,84.9,41,358,15,19,9,Nottingham Forest
