Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,9.0,eng ENG,FW,24-312,90,0,0,0,0,2,0,1,0,33,1,0,0,0.7,0.7,0.1,3,0,12,21,57.1,2,15,0,2,0,Everton
Richarlison,7.0,br BRA,FW,24-257,90,0,0,0,0,3,0,0,0,36,3,0,1,0.3,0.3,0.0,5,0,8,17,47.1,2,17,1,3,0,Everton
Demarai Gray,11.0,jm JAM,LM,25-208,90,0,0,0,0,3,0,0,0,35,2,1,1,0.2,0.2,0.0,3,0,15,23,65.2,3,16,2,6,3,Everton
André Gomes,21.0,pt POR,CM,28-176,50,0,0,0,0,0,0,1,0,24,1,0,1,0.0,0.0,0.0,0,0,15,19,78.9,1,12,0,1,1,Everton
Allan,6.0,br BRA,CM,31-014,40,0,0,0,0,0,0,1,0,20,3,0,2,0.0,0.0,0.1,2,0,13,14,92.9,2,12,0,2,2,Everton
Abdoulaye Doucouré,16.0,ml MLI,CM,29-021,64,0,0,0,0,1,0,0,0,41,7,2,1,0.0,0.0,0.0,0,0,18,30,60.0,2,15,0,3,2,Everton
Tyler Onyango,62.0,eng ENG,CM,18-324,26,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0,Everton
Andros Townsend,14.0,eng ENG,RM,30-190,55,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.1,1,0,9,21,42.9,0,20,1,5,4,Everton
Anthony Gordon,24.0,eng ENG,RM,20-332,35,0,0,0,0,1,0,0,0,24,1,0,2,0.0,0.0,0.9,4,0,12,18,66.7,3,9,2,1,0,Everton
Ben Godfrey,22.0,eng ENG,LB,24-007,90,0,0,0,0,2,0,1,0,42,1,0,2,0.2,0.2,0.0,2,0,29,32,90.6,4,13,0,1,0,Everton
Mason Holgate,4.0,jm JAM,CB,25-092,90,0,0,0,0,0,0,0,0,54,1,3,0,0.0,0.0,0.0,0,0,31,48,64.6,0,24,0,0,0,Everton
Yerry Mina,13.0,co COL,CB,27-121,90,0,0,0,0,2,0,1,0,58,3,0,1,0.1,0.1,0.0,1,0,43,50,86.0,5,29,0,0,0,Everton
Jonjoe Kenny,2.0,eng ENG,RB,24-313,90,0,0,0,0,0,0,0,0,68,0,1,0,0.0,0.0,0.0,1,0,41,65,63.1,8,30,0,0,0,Everton
Jordan Pickford,1.0,eng ENG,GK,27-321,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.1,2,0,22,43,51.2,0,24,0,0,0,Everton
14 Players,,,,,990,0,0,0,0,15,0,5,0,518,24,7,12,1.6,1.6,1.4,24,0,269,403,66.7,32,238,6,25,12,Everton
Ollie Watkins,11.0,eng ENG,FW,26-023,78,0,0,0,0,1,0,0,0,27,0,0,0,0.5,0.5,0.0,0,0,11,18,61.1,1,13,2,6,4,Aston Villa
Danny Ings,20.0,eng ENG,FW,29-183,12,0,0,0,0,0,0,1,0,3,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,Aston Villa
Philippe Coutinho,23.0,br BRA,LW,29-224,73,0,0,0,0,2,1,0,0,36,0,0,1,0.2,0.2,0.0,2,1,15,26,57.7,4,21,1,3,0,Aston Villa
Carney Chukwuemeka,33.0,eng ENG,"LW,RM",18-094,17,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,1,1,Aston Villa
Emi Buendía,10.0,ar ARG,RW,25-028,89,1,0,0,0,4,2,0,0,40,4,1,2,0.1,0.1,0.0,3,0,16,22,72.7,4,22,3,4,3,Aston Villa
Kortney Hause,30.0,eng ENG,CB,26-190,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,LM,20-239,90,0,0,0,0,0,0,0,0,67,3,1,4,0.0,0.0,0.0,4,0,37,49,75.5,6,35,4,3,2,Aston Villa
Douglas Luiz,6.0,br BRA,CM,23-258,90,0,0,0,0,1,0,0,0,51,3,2,0,0.0,0.0,0.0,0,0,29,38,76.3,4,20,0,1,1,Aston Villa
John McGinn,7.0,sct SCO,"RM,CM",27-096,90,0,0,0,0,0,0,0,0,52,6,1,1,0.0,0.0,0.0,1,0,32,42,76.2,6,26,1,0,0,Aston Villa
Lucas Digne,27.0,fr FRA,LB,28-186,90,0,1,0,0,0,0,0,0,88,2,3,1,0.0,0.0,0.1,2,1,48,70,68.6,4,30,0,2,1,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,28-315,90,0,0,0,0,0,0,1,0,60,1,1,3,0.0,0.0,0.5,2,0,29,45,64.4,2,26,1,1,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,24-091,90,0,0,0,0,0,0,0,0,33,3,1,0,0.0,0.0,0.0,1,0,24,27,88.9,1,14,0,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,24-168,90,0,0,0,0,0,0,1,0,38,3,0,1,0.0,0.0,0.0,0,0,22,29,75.9,4,15,1,2,2,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,29-142,90,0,0,0,0,0,0,1,0,31,0,0,0,0.0,0.0,0.0,0,0,17,30,56.7,0,11,0,0,0,Aston Villa
14 Players,,,,,990,1,1,0,0,8,3,4,0,531,26,10,14,0.8,0.8,0.6,15,2,280,399,70.2,36,237,13,24,14,Aston Villa
