Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Richarlison,7.0,br BRA,FW,23-330,90,0,0,0,0,6,3,0,0,33,0,0,3,1.1,1.1,0.5,7,0,11,19,57.9,4,19,2,2,0,Everton
Dominic Calvert-Lewin,9.0,eng ENG,FW,24-020,90,0,0,0,0,2,2,0,0,28,1,0,0,0.8,0.8,0.1,3,0,10,17,58.8,2,18,1,2,1,Everton
James Rodríguez,19.0,co COL,AM,29-267,78,1,0,0,0,3,1,0,0,65,1,0,1,0.2,0.2,0.1,4,0,53,59,89.8,9,52,2,1,1,Everton
Jean-Philippe Gbamin,25.0,ci CIV,AM,25-192,12,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,6,9,66.7,2,9,0,1,0,Everton
André Gomes,21.0,pt POR,CM,27-249,30,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.3,1,0,8,11,72.7,2,11,0,1,0,Everton
Gylfi Sigurðsson,10.0,is ISL,CM,31-209,60,0,0,0,0,2,1,0,0,39,1,2,1,0.4,0.4,0.0,3,1,21,27,77.8,2,19,2,1,1,Everton
Tom Davies,26.0,eng ENG,CM,22-279,90,0,0,0,0,0,0,0,0,81,2,3,0,0.0,0.0,0.0,2,0,52,66,78.8,9,54,0,2,1,Everton
Lucas Digne,12.0,fr FRA,WB,27-259,90,0,0,0,0,0,0,1,0,53,1,1,2,0.0,0.0,0.5,3,0,32,46,69.6,4,30,5,1,0,Everton
Séamus Coleman,23.0,ie IRL,WB,32-176,75,0,1,0,0,0,0,0,0,33,2,1,0,0.0,0.0,0.6,3,1,22,29,75.9,0,24,3,1,1,Everton
Ben Godfrey,22.0,eng ENG,WB,23-080,15,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,5,0,0,0,Everton
Mason Holgate,4.0,jm JAM,CB,24-165,90,0,0,0,0,0,0,0,0,71,3,0,3,0.0,0.0,0.3,2,0,51,62,82.3,4,49,1,2,1,Everton
Yerry Mina,13.0,co COL,CB,26-194,90,0,0,0,0,1,0,1,0,72,1,0,0,0.1,0.1,0.0,0,0,56,62,90.3,0,54,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,28-084,90,0,0,0,0,1,0,0,0,68,2,2,2,0.0,0.0,0.0,0,0,45,56,80.4,3,42,1,0,0,Everton
Robin Olsen,33.0,se SWE,GK,31-087,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,21,26,80.8,0,14,0,0,0,Everton
14 Players,,,,,990,1,1,0,0,15,7,2,0,609,16,9,14,2.5,2.5,2.4,29,2,393,498,78.9,41,400,17,14,6,Everton
Wilfried Zaha,11.0,ci CIV,"FW,LM",28-146,90,0,0,0,0,3,1,0,0,64,1,1,2,0.1,0.1,0.2,4,0,35,49,71.4,12,41,10,5,3,Crystal Palace
Christian Benteke,20.0,be BEL,FW,30-123,76,0,0,0,0,1,0,0,0,36,1,0,1,0.1,0.1,0.0,3,0,23,28,82.1,1,15,0,1,0,Crystal Palace
Jean-Philippe Mateta,14.0,fr FRA,FW,23-281,14,0,0,0,0,1,1,0,0,9,1,0,1,0.1,0.1,0.0,0,0,2,4,50.0,0,4,0,1,1,Crystal Palace
Eberechi Eze,25.0,eng ENG,"LM,CM",22-280,90,0,0,0,0,2,2,0,0,69,0,1,1,0.1,0.1,0.0,1,0,51,61,83.6,11,42,6,4,2,Crystal Palace
Jaïro Riedewald,44.0,nl NED,CM,24-208,67,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,1,0,26,30,86.7,3,14,0,1,1,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,"CM,RM",28-103,23,0,1,0,0,1,0,0,0,14,1,0,1,0.1,0.1,0.2,1,1,6,9,66.7,2,5,2,0,0,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,29-363,90,0,0,0,0,0,0,0,0,78,3,2,1,0.0,0.0,0.0,4,1,57,67,85.1,5,35,0,1,0,Crystal Palace
Jordan Ayew,9.0,gh GHA,RM,29-206,83,0,0,0,0,2,1,0,0,52,3,1,1,0.1,0.1,0.1,3,0,32,39,82.1,1,30,5,1,0,Crystal Palace
Michy Batshuayi,23.0,be BEL,FW,27-185,7,1,0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.0,0,0,3,4,75.0,0,6,0,1,0,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LB,30-219,90,0,0,0,0,2,0,0,0,83,2,1,0,0.1,0.1,0.0,4,0,62,70,88.6,8,42,2,0,0,Crystal Palace
Gary Cahill,24.0,eng ENG,CB,35-107,90,0,0,0,0,0,0,0,0,44,1,2,0,0.0,0.0,0.0,0,0,33,37,89.2,4,16,0,0,0,Crystal Palace
Cheikhou Kouyaté,8.0,sn SEN,CB,31-105,90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,1,0,47,58,81.0,0,25,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,31-158,90,0,0,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,0,49,60,81.7,3,29,2,1,1,Crystal Palace
Vicente Guaita,31.0,es ESP,GK,34-085,90,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,21,32,65.6,0,16,0,0,0,Crystal Palace
14 Players,,,,,990,1,1,0,0,13,6,0,0,654,17,8,12,0.7,0.7,0.5,23,2,447,548,81.6,50,320,27,16,8,Crystal Palace
