Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,9.0,eng ENG,FW,26-059,45,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,8,3,1,0,Everton
Neal Maupay,20.0,fr FRA,FW,26-273,45,0,0,0,0,1,0,0,0,11,0,0,1,0.4,0.4,0.0,0,0,8,9,88.9,0,3,0,0,0,Everton
Dwight McNeil,7.0,eng ENG,"LW,LB",23-173,90,0,0,0,0,1,0,0,0,59,3,4,2,0.1,0.1,0.5,4,0,33,44,75.0,1,30,0,5,3,Everton
Alex Iwobi,17.0,ng NGA,"RW,LM",27-011,90,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,1,0,30,35,85.7,8,28,2,0,0,Everton
Abdoulaye Doucouré,16.0,ml MLI,"AM,RM",30-133,90,0,0,0,0,0,0,0,0,38,2,1,2,0.0,0.0,0.0,0,0,27,31,87.1,1,23,2,1,1,Everton
Idrissa Gana Gueye,27.0,sn SEN,DM,33-230,55,0,0,0,0,0,0,0,0,20,3,1,1,0.0,0.0,0.0,0,0,12,13,92.3,2,10,0,0,0,Everton
Amadou Onana,8.0,be BEL,"CM,DM",21-271,35,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,27,30,90.0,4,22,0,0,0,Everton
James Garner,37.0,eng ENG,"DM,CM",22-062,75,0,0,0,0,0,0,1,0,34,1,0,0,0.0,0.0,0.2,2,0,25,31,80.6,6,17,1,2,2,Everton
Demarai Gray,11.0,jm JAM,CM,26-320,15,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,2,2,1,Everton
Mason Holgate,4.0,jm JAM,LB,26-204,54,0,0,0,0,1,0,0,0,10,0,0,0,0.7,0.7,0.0,0,0,4,7,57.1,0,4,0,0,0,Everton
Conor Coady,30.0,eng ENG,"CB,LB",30-078,36,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,1,25,0,0,0,Everton
