Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,9.0,eng ENG,FW,25-304,90,0,0,0,0,2,1,0,0,33,0,1,0,0.2,0.2,0.0,2,0,15,23,65.2,1,18,2,2,1,Everton
Demarai Gray,11.0,jm JAM,"AM,FW",26-200,90,0,1,0,0,3,1,0,0,53,1,0,0,0.3,0.3,0.3,4,1,26,42,61.9,2,28,2,3,0,Everton
Alex Iwobi,17.0,ng NGA,"AM,CM",26-256,90,0,0,0,0,1,0,0,0,48,1,1,3,0.0,0.0,0.1,2,0,30,39,76.9,5,24,2,0,0,Everton
Idrissa Gana Gueye,27.0,sn SEN,CM,33-110,81,0,0,0,0,0,0,0,0,49,1,1,3,0.0,0.0,0.0,2,0,26,35,74.3,2,19,0,0,0,Everton
Ellis Simms,50.0,eng ENG,FW,22-009,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,Everton
Amadou Onana,8.0,be BEL,CM,21-151,90,1,0,0,0,3,2,0,0,53,2,3,0,0.2,0.2,0.0,5,0,37,41,90.2,4,30,3,4,2,Everton
Vitaliy Mykolenko,19.0,ua UKR,WB,23-230,90,0,0,0,0,0,0,0,0,47,2,1,1,0.0,0.0,0.2,1,0,31,39,79.5,6,16,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,WB,34-095,68,0,0,0,0,0,0,0,0,46,0,2,2,0.0,0.0,0.0,1,1,18,31,58.1,1,26,1,3,0,Everton
Anthony Gordon,10.0,eng ENG,WB,21-324,22,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,3,12,25.0,1,8,1,2,2,Everton
James Tarkowski,2.0,eng ENG,CB,30-056,90,0,0,0,0,1,0,0,0,50,0,0,1,0.1,0.1,0.0,1,0,36,41,87.8,4,26,1,2,2,Everton
Conor Coady,30.0,eng ENG,CB,29-323,90,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,1,0,38,50,76.0,2,33,0,0,0,Everton
Ben Godfrey,22.0,eng ENG,CB,24-364,90,0,0,0,0,2,0,0,0,44,3,1,2,0.5,0.5,0.1,1,0,22,34,64.7,2,15,0,0,0,Everton
Jordan Pickford,1.0,eng ENG,GK,28-313,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,1,0,25,53,47.2,0,29,0,0,0,Everton
13 Players,,,,,990,1,1,0,0,12,4,0,0,549,10,10,13,1.4,1.4,0.7,22,2,309,443,69.8,31,274,12,16,7,Everton
Che Adams,10.0,sct SCO,FW,26-185,84,0,1,0,0,1,0,0,0,37,2,0,0,0.0,0.0,0.5,8,3,20,28,71.4,5,19,0,1,0,Southampton
Sekou Mara,18.0,fr FRA,"FW,AM",20-168,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,1,0,Southampton
Samuel Edozie,23.0,eng ENG,"LW,LM",19-351,60,0,0,0,0,1,0,0,0,26,3,0,0,0.1,0.1,0.1,3,0,10,14,71.4,2,15,1,2,0,Southampton
Adam Armstrong,9.0,eng ENG,"LW,LM",25-338,30,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,9,1,2,1,Southampton
Mohamed Elyounoussi,24.0,no NOR,"RW,RM",28-163,84,0,0,0,0,2,0,0,0,27,0,0,0,0.2,0.2,0.1,1,0,14,19,73.7,0,16,1,0,0,Southampton
Romain Perraud,15.0,fr FRA,LB,25-114,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Southampton
James Ward-Prowse,8.0,eng ENG,"AM,CM",28-074,90,2,0,0,0,5,4,0,0,53,0,0,1,0.7,0.7,0.3,5,1,29,42,69.0,5,23,1,1,1,Southampton
Ibrahima Diallo,27.0,fr FRA,DM,23-312,84,0,0,0,0,2,0,1,0,41,1,1,1,0.0,0.0,0.0,1,0,23,35,65.7,0,26,1,0,0,Southampton
Ainsley Maitland-Niles,3.0,eng ENG,CM,25-138,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Southampton
Roméo Lavia,45.0,be BEL,"DM,CM",19-008,60,0,0,0,0,0,0,1,0,20,2,0,0,0.0,0.0,0.0,0,0,14,15,93.3,1,13,0,0,0,Southampton
Carlos Alcaraz,26.0,ar ARG,"DM,RM",20-045,30,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,2,8,25.0,1,8,1,0,0,Southampton
Kyle Walker-Peters,2.0,eng ENG,"RB,LB",25-276,90,0,0,0,0,0,0,0,0,47,1,1,3,0.0,0.0,0.0,1,0,23,38,60.5,2,21,4,0,0,Southampton
