Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,9.0,eng ENG,FW,26-324,84,0,1,0,0,5,0,0,0,32,1,0,1,0.9,0.9,0.9,1,1,10,16,62.5,1,18,0,0,0,Everton
Beto,14.0,gw GNB,FW,26-003,6,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Everton
Jack Harrison,11.0,eng ENG,"FW,RM",27-075,90,1,0,0,0,2,1,0,0,33,1,0,0,0.9,0.9,0.0,2,0,15,23,65.2,1,20,2,4,2,Everton
Dwight McNeil,7.0,eng ENG,LM,24-073,84,0,0,0,0,1,0,0,0,36,1,1,0,0.0,0.0,0.1,3,0,15,31,48.4,2,19,1,2,1,Everton
Lewis Dobbin,61.0,eng ENG,LM,21-031,6,0,0,0,0,0,0,1,0,9,1,0,0,0.0,0.0,0.3,1,0,4,6,66.7,1,8,0,2,1,Everton
James Garner,37.0,eng ENG,CM,22-327,90,0,0,0,0,0,0,1,0,61,4,1,4,0.0,0.0,0.2,4,2,39,49,79.6,4,24,0,2,2,Everton
Idrissa Gana Gueye,27.0,sn SEN,CM,34-130,90,0,0,0,0,2,0,0,0,54,7,6,0,0.1,0.1,0.0,2,0,30,37,81.1,2,27,1,1,0,Everton
Ashley Young,18.0,eng ENG,RM,38-209,79,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.1,3,0,21,34,61.8,5,27,3,2,2,Everton
Youssef Chermiti,28.0,pt POR,FW,19-255,11,0,0,0,0,1,1,0,0,4,0,0,0,0.3,0.3,0.0,0,0,2,3,66.7,1,0,0,0,0,Everton
Vitaliy Mykolenko,19.0,ua UKR,LB,24-250,90,0,0,0,0,0,0,0,0,59,4,2,1,0.0,0.0,0.0,3,0,29,43,67.4,2,22,0,0,0,Everton
Jarrad Branthwaite,32.0,eng ENG,CB,21-221,90,1,0,0,0,1,1,0,0,42,0,2,0,0.9,0.9,0.0,0,0,31,37,83.8,0,19,0,0,0,Everton
James Tarkowski,6.0,eng ENG,CB,31-076,90,0,0,0,0,0,0,0,0,62,1,3,2,0.0,0.0,0.7,2,0,35,50,70.0,3,27,0,0,0,Everton
Ben Godfrey,22.0,eng ENG,RB,26-019,74,0,0,0,0,2,1,1,0,56,3,2,2,0.2,0.2,0.0,0,0,24,38,63.2,3,17,1,1,0,Everton
Séamus Coleman,23.0,ie IRL,RB,35-115,16,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,7,0,0,0,Everton
Jordan Pickford,1.0,eng ENG,GK,29-333,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,2,0,24,39,61.5,0,16,0,0,0,Everton
15 Players,,,,,990,2,1,0,0,14,4,3,0,544,25,17,12,3.2,3.2,2.3,23,3,284,416,68.3,25,251,8,14,8,Everton
Richarlison,9.0,br BRA,FW,26-269,90,2,0,0,0,4,3,0,0,42,1,0,3,0.7,0.7,0.1,2,0,16,24,66.7,1,27,0,3,0,Tottenham Hotspur
Timo Werner,16.0,de GER,LW,27-334,85,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.0,3,2,16,21,76.2,2,18,5,0,0,Tottenham Hotspur
Oliver Skipp,4.0,eng ENG,CM,23-140,5,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,1,0,0,0,Tottenham Hotspur
Brennan Johnson,22.0,wls WAL,RW,22-256,63,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,6,16,37.5,0,11,2,2,1,Tottenham Hotspur
Dejan Kulusevski,21.0,se SWE,"RW,RM",23-284,27,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.1,1,0,8,13,61.5,0,14,2,4,2,Tottenham Hotspur
James Maddison,10.0,eng ENG,AM,27-072,85,0,1,0,0,2,2,0,0,53,1,1,1,0.1,0.1,0.0,5,1,28,40,70.0,3,36,3,4,1,Tottenham Hotspur
Bryan Gil,11.0,es ESP,"LM,LW",22-357,5,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,3,5,60.0,1,4,0,1,1,Tottenham Hotspur
Rodrigo Bentancur,30.0,uy URU,DM,26-223,63,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.0,0,0,31,38,81.6,2,23,0,1,1,Tottenham Hotspur
Pape Matar Sarr,29.0,sn SEN,"DM,CM,RM",21-142,27,0,0,0,0,0,0,0,0,28,1,2,0,0.0,0.0,0.0,0,0,19,22,86.4,1,16,0,1,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,"DM,LM",28-182,88,0,0,0,0,2,0,0,0,72,3,1,1,0.1,0.1,0.0,0,0,44,57,77.2,3,45,0,2,0,Tottenham Hotspur
Radu Drăgușin,6.0,ro ROU,CB,22-000,2,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,1,1,0,Tottenham Hotspur
Destiny Udogie,38.0,it ITA,LB,21-067,90,0,1,0,0,0,0,0,0,78,7,2,0,0.0,0.0,0.6,3,1,40,57,70.2,4,28,2,4,1,Tottenham Hotspur
Micky van de Ven,37.0,nl NED,CB,22-290,90,0,0,0,0,0,0,0,0,75,3,1,1,0.0,0.0,0.0,0,0,56,62,90.3,3,49,0,0,0,Tottenham Hotspur
Cristian Romero,17.0,ar ARG,CB,25-282,90,0,0,0,0,0,0,0,0,72,2,1,1,0.0,0.0,0.0,0,0,54,63,85.7,3,39,0,0,0,Tottenham Hotspur
Pedro Porro,23.0,es ESP,RB,24-143,90,0,0,0,0,1,1,0,0,77,0,0,1,0.0,0.0,0.0,2,0,50,68,73.5,2,30,0,2,2,Tottenham Hotspur
Guglielmo Vicario,13.0,it ITA,GK,27-119,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,0,0,44,53,83.0,0,33,0,0,0,Tottenham Hotspur
16 Players,,,,,990,2,2,0,0,9,6,0,0,680,22,11,10,1.0,1.0,0.9,16,4,421,547,77.0,26,376,15,25,9,Tottenham Hotspur
