Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Oumar Niasse,19.0,sn SEN,FW,27-201,90,1,0,0,0,2,1,0,0,31,1,0,0,0.5,0.5,0.3,5,1,14,18,77.8,3,16,3,3,2,Everton
Wayne Rooney,10.0,eng ENG,LW,32-012,67,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.3,2,0,18,26,69.2,3,18,0,0,0,Everton
Dominic Calvert-Lewin,29.0,eng ENG,"FW,LW",20-234,23,1,0,0,0,1,1,0,0,14,0,1,0,0.1,0.1,0.0,1,0,3,10,30.0,0,8,0,0,0,Everton
Gylfi Sigurðsson,18.0,is ISL,"RW,RM",28-058,84,0,0,0,0,1,1,0,0,35,1,3,0,0.3,0.3,0.0,0,0,17,24,70.8,2,14,0,1,0,Everton
Aaron Lennon,12.0,eng ENG,RM,30-203,6,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,1,1,1,2,50.0,0,1,1,0,0,Everton
Tom Davies,26.0,eng ENG,"LM,CM",19-128,90,0,0,0,0,2,0,0,0,46,3,3,1,0.1,0.1,0.0,1,1,18,29,62.1,6,23,1,0,0,Everton
Beni Baningime,54.0,cd COD,CM,19-057,54,0,0,0,0,0,0,0,0,27,1,1,2,0.0,0.0,0.0,1,0,16,19,84.2,3,13,0,1,0,Everton
Ademola Lookman,31.0,ng NGA,"RW,LM,CM",20-016,36,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.4,1,1,4,10,40.0,2,10,3,4,2,Everton
Idrissa Gana Gueye,17.0,sn SEN,"RM,CM",28-040,90,0,0,0,0,0,0,0,0,56,4,3,4,0.0,0.0,0.0,1,0,30,42,71.4,1,18,0,2,1,Everton
Leighton Baines,3.0,eng ENG,LB,32-329,90,1,1,1,1,1,1,0,0,30,0,2,0,1.1,0.3,0.1,1,1,20,23,87.0,2,10,1,0,0,Everton
Michael Keane,4.0,eng ENG,CB,24-298,90,0,0,0,0,0,0,0,0,31,1,4,1,0.0,0.0,0.0,0,0,14,18,77.8,2,11,0,0,0,Everton
Phil Jagielka,6.0,eng ENG,CB,35-080,90,0,0,0,0,0,0,0,0,43,1,2,0,0.0,0.0,0.0,1,0,21,31,67.7,3,15,0,0,0,Everton
