Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Calvert-Lewin,29.0,eng ENG,FW,20-258,89,0,0,0,0,1,0,0,0,30,0,0,0,0.1,0.1,0.0,2,1,16,22,72.7,2,19,0,1,0,Everton
Nikola Vlašić,27.0,hr CRO,FW,20-056,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,1,0,0,Everton
Gylfi Sigurðsson,18.0,is ISL,"LM,RM",28-082,90,0,1,0,0,1,0,1,0,46,2,0,1,0.1,0.1,0.1,2,1,28,38,73.7,2,27,3,4,3,Everton
Wayne Rooney,10.0,eng ENG,CM,32-036,84,3,0,0,1,3,3,0,0,76,2,1,0,1.2,0.4,0.0,2,1,48,62,77.4,4,43,2,1,1,Everton
Beni Baningime,54.0,cd COD,CM,19-081,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0,Everton
Tom Davies,26.0,eng ENG,CM,19-152,90,0,0,0,0,0,0,1,0,44,1,3,0,0.0,0.0,0.1,2,0,28,33,84.8,5,27,2,0,0,Everton
Aaron Lennon,12.0,eng ENG,"RM,LM",30-227,88,0,0,0,0,0,0,0,0,42,3,1,3,0.0,0.0,0.0,0,0,22,30,73.3,0,19,0,3,2,Everton
Ademola Lookman,31.0,ng NGA,LM,20-040,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,1,1,1,Everton
Idrissa Gana Gueye,17.0,sn SEN,DM,28-064,90,0,0,0,0,0,0,0,0,56,3,4,0,0.0,0.0,0.1,1,0,43,46,93.5,0,37,1,1,1,Everton
Cuco Martina,15.0,cw CUW,LB,28-065,90,0,0,0,0,0,0,0,0,64,4,0,0,0.0,0.0,0.0,0,0,32,42,76.2,3,23,1,0,0,Everton
Ashley Williams,5.0,wls WAL,CB,33-098,90,1,0,0,0,1,1,0,0,54,1,3,0,0.1,0.1,0.0,0,0,37,39,94.9,3,27,1,1,1,Everton
Mason Holgate,30.0,jm JAM,CB,21-038,90,0,0,0,0,0,0,0,0,57,1,1,1,0.0,0.0,0.0,0,0,33,43,76.7,1,23,0,0,0,Everton
Jonjoe Kenny,43.0,eng ENG,RB,20-259,90,0,1,0,0,1,0,0,0,66,2,2,0,0.1,0.1,0.5,3,1,36,52,69.2,2,27,2,3,2,Everton
Jordan Pickford,1.0,eng ENG,GK,23-267,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,10,30,33.3,0,20,0,0,0,Everton
14 Players,,,,,990,4,2,0,1,7,4,2,0,580,19,15,5,1.6,0.7,0.7,12,4,345,450,76.7,23,302,14,15,11,Everton
André Ayew,20.0,gh GHA,"AM,FW",27-347,90,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,18,26,69.2,1,13,2,1,1,West Ham United
Arthur Masuaku,26.0,cd COD,"LW,LM",24-022,90,0,0,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.0,0,0,24,39,61.5,2,26,4,4,3,West Ham United
Manuel Lanzini,10.0,ar ARG,"DM,CM",24-287,90,0,0,0,1,1,1,0,0,98,2,0,0,0.8,0.0,0.2,8,0,79,91,86.8,10,67,5,7,6,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,"DM,CM",27-343,90,0,0,0,0,1,0,0,0,48,1,1,0,0.0,0.0,0.0,1,0,33,40,82.5,1,22,0,3,1,West Ham United
Marko Arnautović,7.0,at AUT,"RM,RW",28-224,61,0,0,0,0,1,1,0,0,27,1,0,1,0.1,0.1,0.0,1,0,13,19,68.4,3,14,0,2,0,West Ham United
Michail Antonio,30.0,jm JAM,RW,27-246,29,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,4,10,40.0,0,15,4,8,5,West Ham United
Pedro Obiang,14.0,gq EQG,DM,25-247,45,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.0,0,0,25,29,86.2,1,21,1,0,0,West Ham United
Diafra Sakho,15.0,sn SEN,FW,27-340,45,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,2,0,10,15,66.7,2,9,1,1,1,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,27-349,90,0,0,0,0,1,0,0,0,80,0,2,0,0.1,0.1,0.0,0,0,47,73,64.4,6,29,1,0,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,29-190,90,0,0,0,0,0,0,0,0,84,2,3,0,0.0,0.0,0.0,0,0,64,74,86.5,2,58,1,0,0,West Ham United
Winston Reid,2.0,nz NZL,CB,29-149,76,0,0,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.0,0,0,46,55,83.6,1,35,0,0,0,West Ham United
Declan Rice,41.0,eng ENG,CB,18-319,14,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,5,0,0,0,West Ham United
Pablo Zabaleta,5.0,ar ARG,RB,32-317,90,0,0,0,0,0,0,1,0,76,1,0,3,0.0,0.0,0.0,0,0,55,67,82.1,7,35,0,2,0,West Ham United
Joe Hart,25.0,eng ENG,GK,30-224,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,15,31,48.4,0,16,0,0,0,West Ham United
14 Players,,,,,990,0,0,0,1,6,2,1,0,660,11,7,6,1.1,0.3,0.3,12,0,440,577,76.3,37,365,19,28,17,West Ham United
