Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Liam Delap,19.0,eng ENG,FW,21-299,78,0,0,0,0,4,1,0,0,21,2,0,0,0.3,0.3,0.0,1,0,6,13,46.2,0,9,0,1,0,Ipswich Town
Ali Al Hamadi,16.0,iq IRQ,FW,22-277,12,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,3,1,1,1,Ipswich Town
Jack Clarke,47.0,eng ENG,LW,24-010,65,0,0,0,0,0,0,0,0,32,3,0,0,0.0,0.0,0.0,2,0,20,24,83.3,3,18,3,4,2,Ipswich Town
Nathan Broadhead,33.0,wls WAL,LW,26-242,25,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,3,2,Ipswich Town
Wes Burns,7.0,wls WAL,RW,30-010,65,0,0,0,0,1,0,0,0,31,1,1,1,0.1,0.1,0.1,2,0,9,21,42.9,0,15,2,0,0,Ipswich Town
Conor Chaplin,10.0,eng ENG,RW,27-291,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,2,4,0,0,0,Ipswich Town
Omari Hutchinson,20.0,eng ENG,AM,21-034,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,1,0,19,30,63.3,2,24,4,4,3,Ipswich Town
Jens Cajuste,12.0,se SWE,DM,25-115,65,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.1,1,0,29,34,85.3,4,15,1,1,0,Ipswich Town
Jack Taylor,14.0,ie IRL,DM,26-163,25,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,2,0,17,19,89.5,1,8,1,0,0,Ipswich Town
Sam Morsy,5.0,eg EGY,DM,33-084,90,0,0,0,0,1,0,0,0,77,3,4,0,0.0,0.0,0.0,2,0,57,67,85.1,4,36,0,1,1,Ipswich Town
