Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Daniel Sturridge,15.0,eng ENG,FW,29-237,72,0,0,0,0,2,0,0,0,26,1,0,0,0.1,0.1,0.0,1,0,17,19,89.5,4,22,1,1,0,Liverpool
Alex Oxlade-Chamberlain,21.0,eng ENG,RM,25-254,18,0,0,0,0,1,1,0,0,18,1,1,0,0.5,0.5,0.1,3,0,10,13,76.9,4,15,0,1,1,Liverpool
Sadio Mané,10.0,sn SEN,LW,27-016,90,2,0,0,0,4,2,0,0,43,0,0,1,1.0,1.0,0.1,4,0,27,34,79.4,4,34,2,3,1,Liverpool
Mohamed Salah,11.0,eg EGY,"RW,FW",26-315,90,2,1,0,0,8,3,0,0,50,0,0,0,1.2,1.2,0.7,7,1,26,36,72.2,5,41,7,8,6,Liverpool
Naby Keïta,8.0,gn GUI,LM,24-075,90,1,0,0,0,2,1,0,0,86,4,2,4,0.1,0.1,0.0,0,0,58,63,92.1,5,61,1,3,2,Liverpool
Georginio Wijnaldum,5.0,nl NED,CM,28-166,72,0,0,0,0,0,0,0,0,76,3,3,0,0.0,0.0,0.3,2,1,59,68,86.8,8,54,1,1,0,Liverpool
Xherdan Shaqiri,23.0,ch SUI,RW,27-198,18,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.4,2,1,7,9,77.8,1,10,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,"RM,CM",28-313,90,0,1,0,0,1,0,0,0,106,2,0,1,0.1,0.1,0.1,5,1,86,97,88.7,8,87,4,1,0,Liverpool
Andrew Robertson,26.0,sct SCO,LB,25-046,90,0,2,0,0,0,0,0,0,79,1,1,2,0.0,0.0,1.0,6,2,63,75,84.0,3,59,4,1,1,Liverpool
Virgil van Dijk,4.0,nl NED,CB,27-292,90,0,0,0,0,1,0,0,0,121,1,0,0,0.1,0.1,0.0,1,1,101,114,88.6,5,95,2,0,0,Liverpool
Dejan Lovren,6.0,hr CRO,CB,29-295,90,0,0,0,0,1,0,0,0,116,2,3,3,0.1,0.1,0.0,0,0,90,101,89.1,2,82,1,1,0,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,20-201,87,0,1,0,0,0,0,0,0,103,4,1,0,0.0,0.0,0.4,4,2,74,92,80.4,7,65,0,0,0,Liverpool
Joe Gomez,12.0,eng ENG,RB,21-338,3,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,5,0,0,0,Liverpool
Alisson,13.0,br BRA,GK,26-206,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,41,43,95.3,0,38,0,0,0,Liverpool
14 Players,,,,,990,5,5,0,0,21,7,0,0,888,19,11,11,3.1,3.1,3.0,35,9,667,772,86.4,56,668,23,20,11,Liverpool
Steve Mounié,24.0,bj BEN,FW,24-209,64,0,0,0,0,1,0,0,0,26,0,1,1,0.1,0.1,0.0,0,0,14,18,77.8,2,9,0,1,0,Huddersfield Town
Chris Löwe,15.0,de GER,LM,30-010,26,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,7,0,0,0,Huddersfield Town
