Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Hugo Ekitike,22.0,fr FRA,FW,23-195,90,0,0,0,0,4,1,0,0,27,0,0,0,1.0,1.0,0.2,3,0,12,17,70.6,0,12,1,6,4,Liverpool
Florian Wirtz,7.0,de GER,LW,22-243,65,0,0,0,0,4,1,0,0,62,3,0,1,0.7,0.7,0.1,3,0,37,47,78.7,1,30,2,1,0,Liverpool
Cody Gakpo,18.0,nl NED,LW,26-239,25,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,11,13,84.6,1,10,2,0,0,Liverpool
Jeremie Frimpong,30.0,nl NED,"RW,RB",25-022,83,0,0,0,0,1,0,0,0,47,0,1,2,0.0,0.0,0.8,2,0,28,37,75.7,4,23,6,5,3,Liverpool
Rio Ngumoha,73.0,eng ENG,RB,17-125,7,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,2,0,12,14,85.7,1,11,1,2,1,Liverpool
Dominik Szoboszlai,8.0,hu HUN,AM,25-068,90,0,0,0,0,1,1,0,0,75,1,0,1,0.0,0.0,0.2,6,0,58,66,87.9,5,30,1,0,0,Liverpool
Curtis Jones,17.0,eng ENG,DM,24-336,65,0,0,0,0,1,1,0,0,62,1,1,0,0.0,0.0,0.2,2,0,54,59,91.5,5,43,5,0,0,Liverpool
Alexis Mac Allister,10.0,ar ARG,DM,27-008,25,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,5,16,2,0,0,Liverpool
Ryan Gravenberch,38.0,nl NED,DM,23-230,90,0,0,0,0,1,0,0,0,81,0,1,4,0.0,0.0,0.0,1,0,59,67,88.1,7,47,3,3,3,Liverpool
Andrew Robertson,26.0,sct SCO,LB,31-296,65,0,0,0,0,0,0,0,0,67,1,0,2,0.0,0.0,0.0,3,0,53,62,85.5,9,32,2,0,0,Liverpool
