Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Roberto Firmino,9.0,br BRA,FW,28-109,82,0,0,0,0,3,0,0,0,39,0,0,0,0.3,0.3,0.2,6,0,24,33,72.7,4,37,3,6,6,Liverpool
Divock Origi,27.0,be BEL,FW,24-276,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Liverpool
Sadio Mané,10.0,sn SEN,LW,27-284,82,0,0,0,0,4,1,0,0,50,1,0,0,0.5,0.5,0.1,4,0,27,34,79.4,5,38,7,4,1,Liverpool
Fabinho,3.0,br BRA,CM,26-088,8,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Liverpool
Mohamed Salah,11.0,eg EGY,"RW,FW",27-218,90,1,0,0,0,4,1,1,0,45,2,3,0,0.8,0.8,0.4,3,0,20,28,71.4,4,34,4,2,1,Liverpool
Georginio Wijnaldum,5.0,nl NED,LM,29-069,90,0,0,0,0,0,0,0,0,48,2,0,1,0.0,0.0,0.1,3,0,31,36,86.1,4,32,4,5,3,Liverpool
Jordan Henderson,14.0,eng ENG,CM,29-216,90,0,0,0,0,2,1,0,0,60,6,0,1,0.1,0.1,0.1,1,0,38,50,76.0,7,37,3,2,2,Liverpool
Alex Oxlade-Chamberlain,15.0,eng ENG,RM,26-157,65,0,0,0,0,2,1,0,0,43,5,0,3,0.1,0.1,0.0,4,1,24,32,75.0,5,26,1,3,2,Liverpool
Adam Lallana,20.0,eng ENG,RM,31-254,25,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,5,8,62.5,0,9,0,1,0,Liverpool
