Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,23-029,90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,54.5,1,15,3,1,0,Manchester City
Jack Grealish,10.0,eng ENG,LW,27-343,90,0,0,0,0,3,0,0,0,62,2,1,2,0.1,0.1,0.0,2,0,39,49,79.6,1,36,6,2,1,Manchester City
Phil Foden,47.0,eng ENG,RW,23-083,90,0,1,0,0,3,1,0,0,61,0,0,1,0.3,0.3,0.5,9,1,50,56,89.3,11,32,6,3,3,Manchester City
Julián Álvarez,19.0,ar ARG,AM,23-200,90,1,0,0,0,1,1,1,0,40,1,0,1,0.1,0.1,0.1,4,0,24,31,77.4,4,25,3,3,2,Manchester City
Mateo Kovačić,8.0,hr CRO,DM,29-105,90,0,0,0,0,2,0,0,0,102,1,0,0,0.1,0.1,0.0,2,1,91,97,93.8,6,64,3,2,2,Manchester City
Rodri,16.0,es ESP,DM,27-058,90,0,0,0,0,0,0,0,0,144,3,0,1,0.0,0.0,0.0,3,0,122,135,90.4,6,66,1,3,3,Manchester City
Joško Gvardiol,24.0,hr CRO,LB,21-208,90,0,0,0,0,0,0,0,0,73,1,0,1,0.0,0.0,0.0,0,0,57,65,87.7,1,40,1,3,1,Manchester City
Rúben Dias,3.0,pt POR,CB,26-097,90,0,0,0,0,0,0,0,0,90,1,0,0,0.0,0.0,0.0,1,0,82,87,94.3,5,60,0,0,0,Manchester City
Manuel Akanji,25.0,ch SUI,CB,28-031,90,0,0,0,0,1,0,0,0,68,1,2,2,0.0,0.0,0.1,1,0,57,60,95.0,4,30,0,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,33-083,90,0,0,0,0,0,0,0,0,76,1,0,0,0.0,0.0,0.1,2,0,65,73,89.0,3,35,2,2,2,Manchester City
Ederson,31.0,br BRA,GK,30-002,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.1,1,0,39,50,78.0,0,31,0,0,0,Manchester City
11 Players,,,,,990,1,1,0,0,14,4,1,0,788,11,4,9,1.0,1.0,1.0,27,2,632,714,88.5,42,434,25,19,14,Manchester City
Alexander Isak,14.0,se SWE,FW,23-332,65,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,0,8,10,80.0,1,9,1,2,1,Newcastle United
Callum Wilson,9.0,eng ENG,FW,31-173,25,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,2,0,3,5,60.0,0,5,1,2,1,Newcastle United
Anthony Gordon,10.0,eng ENG,LW,22-176,55,0,0,0,0,2,0,1,0,23,0,0,0,0.1,0.1,0.0,0,0,14,16,87.5,0,22,3,1,0,Newcastle United
Harvey Barnes,15.0,eng ENG,LW,25-253,35,0,0,0,0,1,1,1,0,15,0,0,0,0.0,0.0,0.0,1,0,13,14,92.9,1,10,1,0,0,Newcastle United
Miguel Almirón,24.0,py PAR,RW,29-190,85,0,0,0,0,2,0,0,0,39,0,0,2,0.1,0.1,0.1,2,0,23,29,79.3,3,32,7,1,0,Newcastle United
Valentino Livramento,21.0,eng ENG,RW,20-280,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Newcastle United
Joelinton,7.0,br BRA,LM,27-005,56,0,0,0,0,1,0,1,0,23,0,2,1,0.0,0.0,0.1,2,0,17,20,85.0,1,16,0,0,0,Newcastle United
Sean Longstaff,36.0,eng ENG,"RM,LM",25-293,34,0,0,0,0,0,0,0,0,21,3,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,14,0,1,0,Newcastle United
Bruno Guimarães,39.0,br BRA,CM,25-276,90,0,0,0,0,1,0,1,0,71,0,1,0,0.1,0.1,0.0,1,0,62,66,93.9,6,61,0,0,0,Newcastle United
Sandro Tonali,8.0,it ITA,RM,23-103,65,0,0,0,0,0,0,1,0,40,1,0,0,0.0,0.0,0.0,0,0,32,37,86.5,3,28,0,0,0,Newcastle United
Elliot Anderson,32.0,eng ENG,LM,20-286,25,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.0,1,0,9,12,75.0,1,10,3,2,1,Newcastle United
Dan Burn,33.0,eng ENG,LB,31-102,90,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,0,0,43,51,84.3,0,33,2,0,0,Newcastle United
Sven Botman,4.0,nl NED,CB,23-219,90,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.0,1,0,53,60,88.3,2,43,0,0,0,Newcastle United
Fabian Schär,5.0,ch SUI,CB,31-242,90,0,0,0,0,0,0,0,0,80,2,0,2,0.0,0.0,0.0,0,0,59,67,88.1,2,59,0,0,0,Newcastle United
Kieran Trippier,2.0,eng ENG,RB,32-334,90,0,0,0,0,0,0,0,0,84,0,2,4,0.0,0.0,0.0,2,0,61,75,81.3,6,51,0,2,2,Newcastle United
Nick Pope,22.0,eng ENG,GK,31-122,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,17,0,0,0,Newcastle United
16 Players,,,,,990,0,0,0,0,7,1,5,0,582,10,7,11,0.3,0.3,0.3,14,0,432,505,85.5,27,411,18,11,5,Newcastle United
