Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Marcus Rashford,10.0,eng ENG,FW,21-056,90,0,0,0,0,4,2,0,0,41,0,0,0,0.2,0.2,0.4,5,0,19,31,61.3,3,28,5,5,2,Manchester United
Jesse Lingard,14.0,eng ENG,"LW,RW",26-011,90,0,1,0,0,1,1,0,0,64,2,1,1,0.0,0.0,0.0,3,1,41,52,78.8,3,28,1,1,0,Manchester United
Juan Mata,8.0,es ESP,RW,30-242,80,0,0,0,0,1,0,0,0,60,0,0,1,0.1,0.1,0.0,4,1,42,55,76.4,6,45,3,2,1,Manchester United
Angel Gomes,47.0,eng ENG,LW,18-117,10,0,0,0,0,1,1,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,2,0,0,Manchester United
Paul Pogba,6.0,fr FRA,AM,25-286,90,2,0,0,0,5,4,0,0,103,2,3,0,0.2,0.2,0.1,11,2,77,91,84.6,9,69,6,5,4,Manchester United
Nemanja Matić,31.0,rs SRB,DM,30-147,90,1,0,0,0,1,1,0,0,83,2,0,2,0.7,0.7,0.1,3,0,64,70,91.4,5,49,0,1,1,Manchester United
Fred,17.0,br BRA,DM,25-296,52,0,0,0,0,0,0,1,0,56,2,1,0,0.0,0.0,0.0,0,0,44,49,89.8,7,45,1,3,1,Manchester United
Ander Herrera,21.0,es ESP,DM,29-134,38,0,1,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.1,1,1,20,24,83.3,2,19,1,0,0,Manchester United
Luke Shaw,23.0,eng ENG,LB,23-167,90,0,0,0,0,1,1,0,0,104,1,0,2,0.0,0.0,0.1,2,0,78,93,83.9,6,48,1,2,0,Manchester United
Phil Jones,4.0,eng ENG,CB,26-308,90,0,0,0,0,0,0,0,0,72,0,4,0,0.0,0.0,0.0,0,0,57,61,93.4,1,36,0,1,1,Manchester United
Victor Lindelöf,2.0,se SWE,CB,24-162,90,0,0,0,0,1,0,0,0,66,2,2,0,0.0,0.0,0.0,0,0,50,59,84.7,3,41,0,0,0,Manchester United
Diogo Dalot,20.0,pt POR,RB,19-283,52,0,0,0,0,1,0,0,0,33,1,1,0,0.3,0.3,0.0,0,0,20,28,71.4,2,15,2,0,0,Manchester United
Ashley Young,18.0,eng ENG,RB,33-170,38,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,0,0,25,34,73.5,1,15,0,1,0,Manchester United
David de Gea,1.0,es ESP,GK,28-049,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,18,0,0,0,Manchester United
14 Players,,,,,990,3,2,0,0,16,10,1,0,793,14,12,8,1.6,1.6,0.7,29,5,565,687,82.2,48,459,22,21,10,Manchester United
Laurent Depoitre,20.0,be BEL,FW,30-019,72,0,0,0,0,2,1,0,0,16,0,0,0,0.1,0.1,0.1,0,0,4,7,57.1,0,9,0,1,0,Huddersfield Town
Steve Mounié,24.0,bj BEN,FW,24-088,18,0,1,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.5,2,1,7,10,70.0,1,4,0,0,0,Huddersfield Town
Isaac Mbenza,18.0,be BEL,"LW,RW",22-293,61,0,0,0,0,2,0,0,0,24,1,0,0,0.1,0.1,0.0,1,0,11,14,78.6,1,16,2,1,1,Huddersfield Town
Collin Quaner,23.0,de GER,RW,27-191,29,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,1,8,0,1,1,Huddersfield Town
Elias Kachunga,9.0,cd COD,RW,26-248,56,0,0,0,0,1,0,1,0,24,4,1,2,0.0,0.0,0.0,0,0,5,11,45.5,0,7,1,1,1,Huddersfield Town
Chris Löwe,15.0,de GER,LW,29-254,34,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,10,15,66.7,0,10,0,0,0,Huddersfield Town
Alex Pritchard,21.0,eng ENG,AM,25-237,90,0,0,0,0,1,0,0,0,55,4,1,2,0.0,0.0,0.3,5,1,31,47,66.0,5,31,4,0,0,Huddersfield Town
Philip Billing,8.0,dk DEN,DM,22-198,90,0,0,0,0,2,0,0,0,66,5,5,4,0.1,0.1,0.0,3,0,34,46,73.9,7,37,3,2,1,Huddersfield Town
Florent Hadergjonaj,33.0,xk KVX,DM,24-148,90,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.0,1,0,34,45,75.6,5,25,2,1,1,Huddersfield Town
Terence Kongolo,5.0,nl NED,LB,24-315,90,0,0,0,0,1,0,0,0,46,2,1,0,0.2,0.2,0.0,1,0,25,34,73.5,6,15,1,2,0,Huddersfield Town
Christopher Schindler,26.0,de GER,CB,28-241,90,0,0,0,0,0,0,0,0,35,4,3,3,0.0,0.0,0.0,2,0,17,25,68.0,2,10,1,0,0,Huddersfield Town
Mathias Jørgensen,25.0,dk DEN,CB,28-247,90,1,0,0,0,1,1,0,0,61,4,5,2,0.5,0.5,0.0,2,0,33,36,91.7,3,26,1,0,0,Huddersfield Town
Erik Durm,37.0,de GER,RB,26-228,90,0,0,0,0,0,0,0,0,62,2,3,0,0.0,0.0,0.1,1,0,39,53,73.6,3,31,1,2,2,Huddersfield Town
Jonas Lössl,1.0,dk DEN,GK,29-328,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,16,29,55.2,0,18,0,0,0,Huddersfield Town
14 Players,,,,,990,1,1,0,0,10,2,1,0,510,27,21,14,1.1,1.1,1.0,19,2,272,381,71.4,34,247,16,11,7,Huddersfield Town
