Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Anthony Gordon,10.0,eng ENG,FW,22-344,45,0,0,0,0,2,1,0,0,20,0,0,0,0.3,0.3,0.0,2,1,9,16,56.3,2,10,2,1,1,Newcastle United
Callum Wilson,9.0,eng ENG,FW,31-341,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.2,3,0,11,14,78.6,0,13,0,1,1,Newcastle United
Miguel Almirón,24.0,py PAR,LW,29-358,62,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.1,1,0,29,35,82.9,3,16,1,0,0,Newcastle United
Harvey Barnes,15.0,eng ENG,LW,26-056,28,1,0,0,0,3,2,0,0,15,0,0,0,0.3,0.3,0.0,2,1,10,11,90.9,1,10,0,1,1,Newcastle United
Jacob Murphy,23.0,eng ENG,RW,28-344,90,0,0,0,0,5,0,1,0,53,1,0,4,0.4,0.4,0.2,3,0,20,37,54.1,2,27,3,3,2,Newcastle United
Lewis Miley,67.0,eng ENG,LM,17-278,90,0,1,0,0,0,0,0,0,50,7,0,2,0.0,0.0,0.1,6,3,31,37,83.8,4,21,1,1,0,Newcastle United
Bruno Guimarães,39.0,br BRA,CM,26-079,90,0,1,0,0,1,0,0,0,69,1,1,2,0.1,0.1,0.4,5,1,45,56,80.4,8,51,3,5,2,Newcastle United
Sean Longstaff,36.0,eng ENG,RM,26-096,90,2,0,0,0,4,2,0,0,42,4,0,0,0.9,0.9,0.0,3,0,26,33,78.8,4,18,1,0,0,Newcastle United
Dan Burn,33.0,eng ENG,LB,31-270,63,0,0,0,0,0,0,1,0,49,5,0,0,0.0,0.0,0.0,0,0,26,42,61.9,2,15,0,1,1,Newcastle United
Valentino Livramento,21.0,eng ENG,LB,21-083,27,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,16,18,88.9,1,11,0,1,0,Newcastle United
Sven Botman,4.0,nl NED,CB,24-022,90,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.0,1,1,30,37,81.1,1,18,0,1,0,Newcastle United
Fabian Schär,5.0,ch SUI,CB,32-045,90,0,0,0,0,3,0,0,0,62,3,2,2,0.1,0.1,0.1,1,0,34,51,66.7,5,35,1,1,0,Newcastle United
Kieran Trippier,2.0,eng ENG,RB,33-137,90,1,1,0,0,1,1,0,0,88,3,0,2,0.3,0.3,0.2,3,0,50,83,60.2,3,24,1,1,1,Newcastle United
