Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Teemu Pukki,22.0,fi FIN,"FW,LW",29-224,90,0,0,0,0,4,2,0,0,45,0,1,1,0.2,0.2,0.1,6,0,29,32,90.6,2,26,1,2,1,Norwich City
Onel Hernández,11.0,cu CUB,"LW,RW",26-280,90,0,0,0,0,1,0,0,0,45,1,1,0,0.1,0.1,0.0,5,0,21,31,67.7,2,34,11,13,7,Norwich City
Emi Buendía,17.0,ar ARG,RW,22-318,61,0,0,0,0,1,0,0,0,54,4,0,3,0.1,0.1,0.0,1,0,27,41,65.9,7,33,2,3,1,Norwich City
Todd Cantwell,14.0,eng ENG,"RW,AM",21-254,29,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,4,0,22,32,68.8,3,26,2,4,3,Norwich City
Marco Stiepermann,18.0,de GER,AM,28-272,61,0,0,0,0,0,0,0,0,30,2,1,1,0.0,0.0,0.0,3,0,11,19,57.9,2,22,3,4,3,Norwich City
Josip Drmić,20.0,ch SUI,"AM,FW",27-092,29,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Norwich City
Kenny McLean,23.0,sct SCO,"DM,LB",27-304,90,0,0,0,0,2,2,0,0,82,1,0,3,0.1,0.1,0.1,3,0,53,69,76.8,8,50,3,1,1,Norwich City
Tom Trybull,19.0,de GER,DM,26-244,90,0,0,0,0,2,0,0,0,73,4,1,3,0.0,0.0,0.0,1,0,60,61,98.4,5,50,0,0,0,Norwich City
Jamal Lewis,12.0,nir NIR,LB,21-287,80,0,0,0,0,2,1,0,0,82,1,1,1,0.0,0.0,0.0,0,0,65,75,86.7,6,61,6,1,1,Norwich City
Mario Vrančić,8.0,ba BIH,DM,30-169,10,0,0,0,0,1,0,1,0,16,1,0,1,0.1,0.1,0.0,1,0,10,13,76.9,4,10,0,0,0,Norwich City
Ben Godfrey,4.0,eng ENG,CB,21-297,90,0,0,0,0,2,0,0,0,111,4,0,1,0.1,0.1,0.0,1,0,95,99,96.0,9,95,1,0,0,Norwich City
Alexander Tettey,27.0,no NOR,CB,33-218,90,0,0,0,0,1,0,0,0,92,0,2,0,0.1,0.1,0.0,2,0,75,85,88.2,2,68,3,0,0,Norwich City
Max Aarons,2.0,eng ENG,RB,19-308,90,0,0,0,0,1,0,0,0,68,0,0,2,0.0,0.0,0.0,1,0,51,55,92.7,2,50,3,3,0,Norwich City
