Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Chris Wood,11.0,nz NZL,FW,33-081,84,0,0,0,0,2,1,0,0,18,1,0,3,0.2,0.2,0.0,0,0,6,8,75.0,1,8,0,0,0,Nottingham Forest
Taiwo Awoniyi,9.0,ng NGA,FW,27-198,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Nottingham Forest
Callum Hudson-Odoi,14.0,eng ENG,"LW,RW",24-111,90,0,0,0,0,1,0,0,0,34,0,1,0,0.1,0.1,0.0,3,0,18,24,75.0,2,20,3,3,2,Nottingham Forest
Anthony Elanga,21.0,se SWE,RW,22-305,61,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,7,8,87.5,0,4,2,0,0,Nottingham Forest
Ryan Yates,22.0,eng ENG,DM,27-097,29,0,0,0,0,1,0,0,0,7,0,1,0,0.1,0.1,0.1,2,0,1,3,33.3,0,4,0,0,0,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,AM,25-030,90,0,0,0,0,0,0,0,0,36,2,0,0,0.0,0.0,0.2,3,0,21,29,72.4,7,15,0,2,1,Nottingham Forest
Elliot Anderson,8.0,eng ENG,"DM,LW",22-112,90,0,0,0,0,0,0,0,0,40,3,0,1,0.0,0.0,0.0,0,0,23,31,74.2,5,19,0,1,1,Nottingham Forest
Nicolás Domínguez,16.0,ar ARG,DM,26-243,61,0,0,0,0,1,1,0,0,32,6,1,2,0.0,0.0,0.0,0,0,19,24,79.2,0,8,0,0,0,Nottingham Forest
Danilo,28.0,br BRA,DM,23-303,29,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,5,1,1,1,Nottingham Forest
Neco Williams,7.0,wls WAL,LB,23-319,90,0,0,0,0,1,0,0,0,50,3,3,0,0.1,0.1,0.0,1,0,22,33,66.7,2,15,0,2,0,Nottingham Forest
Murillo,5.0,br BRA,CB,22-237,90,0,0,0,0,0,0,0,0,52,0,0,2,0.0,0.0,0.0,0,0,30,42,71.4,1,15,0,0,0,Nottingham Forest
Nikola Milenković,31.0,rs SRB,CB,27-137,90,0,0,0,0,0,0,1,0,44,2,2,1,0.0,0.0,0.0,0,0,27,33,81.8,0,17,0,0,0,Nottingham Forest
Ola Aina,34.0,ng NGA,RB,28-141,90,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,1,0,19,30,63.3,0,17,1,2,0,Nottingham Forest
Matz Sels,26.0,be BEL,GK,33-000,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,14,30,46.7,0,13,0,0,0,Nottingham Forest
14 Players,,,,,990,0,0,0,0,6,2,1,0,407,18,8,11,0.4,0.4,0.3,10,0,213,303,70.3,20,161,7,11,5,Nottingham Forest
Mikel Merino,23.0,es ESP,FW,28-249,90,0,0,0,0,2,1,0,0,35,1,0,0,0.2,0.2,0.2,3,0,18,24,75.0,5,16,0,2,1,Arsenal
Leandro Trossard,19.0,be BEL,LW,30-084,90,0,0,0,0,2,0,0,0,61,1,0,2,0.0,0.0,0.2,6,0,40,51,78.4,8,32,3,4,1,Arsenal
Ethan Nwaneri,53.0,eng ENG,RW,17-342,76,0,0,0,0,3,0,0,0,53,1,0,1,0.1,0.1,0.0,1,0,34,40,85.0,4,39,5,9,6,Arsenal
Raheem Sterling,30.0,eng ENG,RW,30-080,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,1,0,0,Arsenal
Declan Rice,41.0,eng ENG,"LM,CM",26-043,90,0,0,0,0,2,0,0,0,82,2,1,0,0.1,0.1,0.2,4,0,60,70,85.7,4,51,5,1,0,Arsenal
Jorginho,20.0,it ITA,CM,33-068,69,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.0,2,0,40,47,85.1,5,32,1,1,0,Arsenal
Oleksandr Zinchenko,17.0,ua UKR,LM,28-073,21,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,0,6,0,0,0,Arsenal
Martin Ødegaard,8.0,no NOR,RM,26-071,84,0,0,0,0,0,0,0,0,55,0,1,0,0.0,0.0,0.2,2,0,40,52,76.9,4,39,4,2,1,Arsenal
Thomas Partey,5.0,gh GHA,RM,31-258,6,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,0,3,3,100.0,0,4,0,1,1,Arsenal
Riccardo Calafiori,33.0,it ITA,LB,22-283,45,0,0,0,0,1,0,1,0,23,0,0,0,0.1,0.1,0.0,2,0,18,19,94.7,4,16,1,1,1,Arsenal
Kieran Tierney,3.0,sct SCO,LB,27-266,45,0,0,0,0,1,0,0,0,24,1,1,0,0.2,0.2,0.0,1,0,12,19,63.2,3,11,0,1,0,Arsenal
Gabriel Magalhães,6.0,br BRA,CB,27-069,90,0,0,0,0,0,0,0,0,67,1,0,2,0.0,0.0,0.0,2,0,50,57,87.7,6,34,3,0,0,Arsenal
William Saliba,2.0,fr FRA,CB,23-339,90,0,0,0,0,1,0,0,0,91,1,2,1,0.2,0.2,0.0,1,0,71,79,89.9,11,52,0,1,0,Arsenal
Jurriën Timber,12.0,nl NED,RB,23-254,84,0,0,0,0,0,0,0,0,41,6,0,0,0.0,0.0,0.0,0,0,25,32,78.1,4,23,1,4,1,Arsenal
Ben White,4.0,eng ENG,RB,27-141,6,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Arsenal
David Raya,22.0,es ESP,GK,29-164,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,31,32,96.9,2,14,0,0,0,Arsenal
16 Players,,,,,990,0,0,0,0,13,1,1,0,641,14,5,9,1.0,1.0,1.0,26,0,455,544,83.6,60,372,24,27,12,Arsenal
