Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Taiwo Awoniyi,9.0,ng NGA,FW,26-006,83,1,0,0,0,1,1,0,0,21,0,0,1,0.3,0.3,0.1,3,0,10,12,83.3,3,13,0,3,2,Nottingham Forest
Chris Wood,11.0,nz NZL,FW,31-254,7,1,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,5,0,0,0,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,"LW,AM",23-203,90,0,0,0,0,2,1,0,0,62,2,0,0,0.1,0.1,0.3,10,0,34,51,66.7,10,41,4,7,3,Nottingham Forest
Brennan Johnson,20.0,wls WAL,RW,22-087,89,0,0,0,0,2,0,0,0,44,1,0,0,0.1,0.1,0.0,3,1,24,37,64.9,0,25,5,2,0,Nottingham Forest
Moussa Niakhate,19.0,sn SEN,RW,27-163,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Nottingham Forest
Neco Williams,7.0,wls WAL,"LM,LB",22-127,90,0,0,0,0,1,0,0,0,58,4,4,2,0.0,0.0,0.0,1,0,25,37,67.6,1,24,0,6,0,Nottingham Forest
Orel Mangala,5.0,be BEL,CM,25-153,68,0,0,0,0,0,0,0,0,34,4,2,1,0.0,0.0,0.0,1,0,19,24,79.2,2,15,0,0,0,Nottingham Forest
Ryan Yates,22.0,eng ENG,"DM,CM",25-270,22,0,0,0,0,0,0,0,0,19,1,2,0,0.0,0.0,0.0,0,0,10,13,76.9,2,10,0,0,0,Nottingham Forest
Danilo,28.0,br BRA,"CM,DM",22-111,89,0,0,0,0,2,0,0,0,57,0,2,1,0.1,0.1,0.1,2,0,44,49,89.8,3,30,0,2,0,Nottingham Forest
Cheikhou Kouyaté,8.0,sn SEN,DM,33-240,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,1,1,Nottingham Forest
Serge Aurier,24.0,ci CIV,"RM,RB",30-237,90,0,2,0,0,1,0,1,0,88,1,0,2,0.0,0.0,0.4,4,2,59,76,77.6,10,46,4,2,0,Nottingham Forest
