Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Taiwo Awoniyi,9.0,ng NGA,FW,26-189,66,1,0,0,0,4,2,1,0,16,0,1,1,0.7,0.7,0.0,1,0,8,9,88.9,1,10,0,1,0,Nottingham Forest
Divock Origi,27.0,be BEL,RW,28-305,24,0,0,0,0,0,0,0,0,11,0,1,1,0.0,0.0,0.0,1,1,4,6,66.7,1,7,1,0,0,Nottingham Forest
Callum Hudson-Odoi,14.0,eng ENG,LW,23-102,90,1,0,0,0,2,1,0,0,52,2,0,1,0.4,0.4,0.8,8,1,35,43,81.4,4,40,8,2,1,Nottingham Forest
Anthony Elanga,21.0,se SWE,"RW,FW",21-296,90,0,1,0,0,4,2,0,0,46,2,0,0,1.0,1.0,0.7,5,0,28,34,82.4,5,31,4,1,0,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,AM,24-021,89,0,0,0,0,1,1,1,0,55,0,1,1,0.2,0.2,0.3,5,0,34,43,79.1,7,33,4,4,1,Nottingham Forest
Andrew Omobamidele,32.0,ie IRL,AM,21-239,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Nottingham Forest
Danilo,28.0,br BRA,DM,22-294,90,0,0,0,0,4,2,0,0,66,2,0,2,0.3,0.3,0.0,4,0,45,52,86.5,6,44,1,0,0,Nottingham Forest
Nicolás Domínguez,16.0,ar ARG,DM,25-234,85,0,1,0,0,1,0,1,0,55,6,0,1,0.1,0.1,0.3,4,1,43,46,93.5,7,26,0,0,0,Nottingham Forest
Ryan Yates,22.0,eng ENG,DM,26-088,5,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,1,2,0,0,0,Nottingham Forest
Nuno Tavares,3.0,pt POR,LB,24-022,90,0,0,0,0,2,0,0,0,85,3,1,0,0.0,0.0,0.2,4,0,50,66,75.8,6,43,3,0,0,Nottingham Forest
Murillo,40.0,br BRA,CB,21-228,90,0,0,0,0,1,0,0,0,56,1,0,1,0.3,0.3,0.0,2,0,29,46,63.0,3,28,0,0,0,Nottingham Forest
Felipe,18.0,br BRA,CB,34-277,90,0,0,0,0,0,0,0,0,46,2,0,0,0.0,0.0,0.0,1,0,34,39,87.2,0,26,0,1,0,Nottingham Forest
Neco Williams,7.0,wls WAL,RB,22-310,90,0,0,0,0,0,0,1,0,55,3,2,2,0.0,0.0,0.0,1,1,28,39,71.8,2,24,2,3,2,Nottingham Forest
Matz Sels,26.0,be BEL,GK,31-356,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,14,0,0,0,Nottingham Forest
14 Players,,,,,990,2,2,0,0,19,8,4,0,571,21,6,11,2.8,2.8,2.3,36,4,356,449,79.3,43,328,23,12,4,Nottingham Forest
Michail Antonio,9.0,jm JAM,FW,33-326,75,0,0,0,0,1,0,1,0,26,0,0,0,0.1,0.1,0.0,1,0,7,12,58.3,0,18,1,3,0,West Ham United
Maxwel Cornet,17.0,ci CIV,LW,27-143,15,0,0,0,0,1,0,0,0,8,1,0,0,0.1,0.1,0.0,1,0,4,6,66.7,1,7,1,0,0,West Ham United
Mohammed Kudus,14.0,gh GHA,"LW,RW,RM,LM",23-199,90,0,0,0,0,2,0,1,0,55,1,0,1,0.1,0.1,0.0,2,0,26,38,68.4,1,35,5,7,5,West Ham United
