Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Cameron Archer,10.0,eng ENG,FW,22-127,90,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.0,3,0,13,16,81.3,1,11,1,2,1,Sheffield United
Gustavo Hamer,8.0,nl NED,"AM,CM",26-154,80,0,0,0,0,0,0,0,0,50,3,0,2,0.0,0.0,0.0,0,0,25,40,62.5,3,18,0,3,2,Sheffield United
John Fleck,4.0,sct SCO,CM,32-093,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,3,0,0,0,Sheffield United
James Mcatee,28.0,eng ENG,"AM,CM",21-038,80,0,0,0,0,1,0,0,0,37,1,0,2,0.1,0.1,0.0,0,0,15,26,57.7,0,19,2,3,0,Sheffield United
William Osula,32.0,dk DEN,CM,20-113,10,0,0,0,0,3,1,0,0,10,1,0,0,0.1,0.1,0.0,1,0,1,3,33.3,0,4,1,2,1,Sheffield United
Vinicius Souza,21.0,br BRA,CM,24-161,45,0,0,0,0,0,0,0,0,34,2,0,1,0.0,0.0,0.0,0,0,19,28,67.9,1,15,0,0,0,Sheffield United
Oliver McBurnie,9.0,sct SCO,FW,27-174,45,1,0,0,0,4,1,0,0,26,4,0,0,0.5,0.5,0.0,1,0,3,14,21.4,3,4,0,0,0,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,32-227,90,0,0,0,0,1,0,1,0,85,2,0,0,0.0,0.0,0.1,3,1,52,79,65.8,10,43,1,0,0,Sheffield United
Luke Thomas,14.0,eng ENG,WB,22-168,65,0,0,0,0,1,0,1,0,45,4,1,0,0.0,0.0,0.0,0,0,26,37,70.3,5,18,0,1,0,Sheffield United
Ben Osborn,23.0,eng ENG,WB,29-112,25,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,1,5,0,0,0,Sheffield United
Jayden Bogle,20.0,eng ENG,WB,23-121,45,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,0,0,7,13,53.8,1,3,1,1,1,Sheffield United
Anel Ahmedhodžić,15.0,ba BIH,CB,24-244,45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,1,0,11,18,61.1,0,13,0,0,0,Sheffield United
Auston Trusty,5.0,us USA,CB,25-105,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,0,0,24,33,72.7,3,12,0,0,0,Sheffield United
Jack Robinson,19.0,eng ENG,CB,30-085,90,0,0,0,0,0,0,1,0,54,1,1,1,0.0,0.0,0.0,0,0,33,44,75.0,3,27,1,0,0,Sheffield United
George Baldock,2.0,gr GRE,"WB,CB",30-261,90,0,1,0,0,0,0,1,0,66,3,3,2,0.0,0.0,0.5,3,1,36,49,73.5,4,24,2,0,0,Sheffield United
Wes Foderingham,18.0,eng ENG,GK,32-315,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,17,36,47.2,0,19,0,0,0,Sheffield United
16 Players,,,,,990,1,1,0,0,10,2,4,0,577,26,6,12,0.8,0.8,0.7,14,2,298,454,65.6,36,238,9,12,5,Sheffield United
Dominic Solanke,9.0,eng ENG,FW,26-072,90,0,0,0,0,4,0,0,0,37,0,0,1,0.6,0.6,0.0,3,0,10,19,52.6,4,23,1,1,1,Bournemouth
Marcus Tavernier,16.0,eng ENG,LW,24-248,81,2,0,0,0,6,5,0,0,65,1,0,1,1.2,1.2,0.2,3,0,33,48,68.8,5,38,5,2,1,Bournemouth
