Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Nathan Tella,23.0,ng NGA,FW,21-252,67,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,4,8,50.0,1,12,0,2,0,Southampton
Moussa Djenepo,12.0,ml MLI,"RW,LM",22-272,23,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,13,1,2,1,Southampton
Che Adams,10.0,sct SCO,FW,24-244,90,1,0,0,0,2,1,0,0,35,0,0,0,0.2,0.2,0.0,2,0,15,23,65.2,1,12,1,1,0,Southampton
Takumi Minamino,19.0,jp JPN,LM,26-057,64,0,0,0,0,3,1,0,0,33,1,0,1,0.1,0.1,0.0,2,0,19,24,79.2,1,10,2,2,0,Southampton
Nathan Redmond,11.0,eng ENG,"LW,RM,LM",27-008,26,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,9,11,81.8,2,9,0,0,0,Southampton
Ibrahima Diallo,27.0,fr FRA,"CM,LM",22-006,90,0,0,0,0,0,0,0,0,53,1,1,3,0.0,0.0,0.0,3,0,38,42,90.5,4,26,2,1,1,Southampton
James Ward-Prowse,8.0,eng ENG,CM,26-133,90,0,0,0,0,2,1,0,0,75,0,1,0,0.2,0.2,0.0,2,1,48,68,70.6,5,33,1,1,1,Southampton
Stuart Armstrong,17.0,sct SCO,RM,28-349,86,0,0,0,0,2,1,0,0,52,2,1,0,0.1,0.1,0.0,3,1,31,40,77.5,2,23,3,1,1,Southampton
Dan Nlundulu,40.0,eng ENG,FW,22-037,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Southampton
Ryan Bertrand,3.0,eng ENG,LB,31-221,90,0,0,0,0,0,0,0,0,75,4,0,3,0.0,0.0,0.0,1,0,37,60,61.7,2,34,5,0,0,Southampton
Jannik Vestergaard,4.0,dk DEN,CB,28-223,90,0,0,0,0,0,0,0,0,83,3,3,0,0.0,0.0,0.0,0,0,65,75,86.7,2,31,0,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,24-336,90,0,0,0,0,0,0,0,0,82,0,3,1,0.0,0.0,0.0,1,0,63,73,86.3,4,40,1,0,0,Southampton
Kyle Walker-Peters,2.0,eng ENG,RB,23-335,90,0,0,0,0,0,0,0,0,81,2,2,0,0.0,0.0,0.0,1,0,52,67,77.6,8,26,2,3,1,Southampton
Fraser Forster,44.0,eng ENG,GK,32-362,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,26,36,72.2,0,14,0,0,0,Southampton
14 Players,,,,,990,1,0,0,0,9,4,0,0,654,13,11,10,0.6,0.6,0.1,16,2,417,540,77.2,33,283,18,13,5,Southampton
Neal Maupay,9.0,fr FRA,FW,24-212,90,0,0,0,0,1,1,0,0,30,4,0,0,0.0,0.0,0.0,1,1,8,14,57.1,0,15,1,3,0,Brighton & Hove Albion
Danny Welbeck,18.0,eng ENG,FW,30-108,76,0,1,0,0,0,0,0,0,26,1,0,2,0.0,0.0,0.3,4,1,9,12,75.0,3,17,0,1,1,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,AM,29-193,14,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,0,0,Brighton & Hove Albion
Leandro Trossard,11.0,be BEL,"LM,AM,FW",26-100,85,1,0,0,0,2,2,0,0,43,0,4,2,0.3,0.3,0.0,1,0,19,32,59.4,3,30,2,5,4,Brighton & Hove Albion
Jakub Moder,15.0,pl POL,FW,21-341,5,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,CM,24-196,90,0,0,0,0,0,0,0,0,38,2,3,0,0.0,0.0,0.0,0,0,27,32,84.4,2,14,0,0,0,Brighton & Hove Albion
Adam Lallana,14.0,eng ENG,CM,32-308,90,0,0,0,0,0,0,0,0,56,5,1,1,0.0,0.0,0.0,3,1,36,45,80.0,4,24,1,0,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,"WB,RM",29-272,90,0,1,0,0,2,1,0,0,57,1,0,1,0.3,0.3,0.0,3,1,18,44,40.9,1,21,3,0,0,Brighton & Hove Albion
Dan Burn,33.0,eng ENG,LB,28-309,45,0,0,0,0,0,0,0,0,41,2,1,1,0.0,0.0,0.2,1,0,19,35,54.3,4,14,0,0,0,Brighton & Hove Albion
Andi Zeqiri,29.0,ch SUI,WB,21-265,45,0,0,0,0,1,1,0,0,26,2,0,1,0.1,0.1,0.0,0,0,6,17,35.3,1,12,1,0,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,29-113,90,1,0,0,0,1,1,0,0,50,0,1,0,0.0,0.0,0.0,0,0,32,38,84.2,2,23,0,0,0,Brighton & Hove Albion
Ben White,3.0,eng ENG,CB,23-157,90,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,0,0,15,24,62.5,1,11,1,1,0,Brighton & Hove Albion
Joël Veltman,34.0,nl NED,"CB,RB",29-058,90,0,0,0,0,1,0,0,0,58,4,0,0,0.0,0.0,0.1,2,0,39,49,79.6,3,21,0,0,0,Brighton & Hove Albion
Robert Sánchez,26.0,es ESP,GK,23-116,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,22,33,66.7,0,21,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,2,2,0,0,8,6,0,0,501,24,11,9,0.8,0.8,0.7,15,4,254,382,66.5,24,228,9,10,5,Brighton & Hove Albion
