Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,26-062,90,1,0,0,0,3,1,0,0,40,0,0,0,0.5,0.5,0.0,1,0,14,24,58.3,4,25,3,2,1,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,"LW,LM",27-082,63,0,1,0,0,1,1,0,0,37,4,0,1,0.0,0.0,0.2,6,2,13,20,65.0,2,24,4,9,3,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,LM,27-208,27,0,0,0,0,0,0,0,0,20,2,1,0,0.0,0.0,0.1,2,0,14,15,93.3,3,15,2,1,1,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,"RB,RW",30-043,90,0,0,0,0,0,0,0,0,60,2,0,1,0.0,0.0,0.0,1,1,32,41,78.0,3,33,5,2,0,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,"RM,AM",27-226,90,0,1,0,0,1,0,0,0,46,1,2,0,0.1,0.1,0.7,3,1,27,37,73.0,4,28,2,0,0,Tottenham Hotspur
Tanguy Ndombele,28.0,fr FRA,"CM,DM",22-274,77,1,0,0,0,2,1,0,0,44,4,1,1,0.2,0.2,0.0,3,0,23,28,82.1,2,27,1,5,1,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CM,25-256,13,0,0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,6,33.3,0,2,0,0,0,Tottenham Hotspur
Harry Winks,8.0,eng ENG,"CM,DM",23-238,89,0,0,0,0,1,0,0,0,50,4,2,1,0.0,0.0,0.0,0,0,39,43,90.7,5,34,1,1,1,Tottenham Hotspur
Victor Wanyama,12.0,ke KEN,CM,28-095,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Tottenham Hotspur
Danny Rose,3.0,eng ENG,LB,29-088,90,0,0,0,0,0,0,0,0,60,2,1,2,0.0,0.0,0.0,1,0,35,49,71.4,5,30,4,4,3,Tottenham Hotspur
