Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Troy Deeney,9.0,eng ENG,FW,31-365,90,0,0,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,9,22,40.9,2,18,0,0,0,Watford
Roberto Pereyra,37.0,ar ARG,LW,29-173,73,0,0,0,0,0,0,0,0,34,0,1,1,0.0,0.0,0.0,1,0,19,27,70.4,3,26,1,2,1,Watford
João Pedro,17.0,br BRA,LW,18-276,17,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,6,0,2,1,Watford
Ismaila Sarr,23.0,sn SEN,RW,22-124,90,0,0,0,0,1,0,0,0,34,0,1,0,0.2,0.2,0.0,1,0,17,26,65.4,1,28,2,3,3,Watford
Abdoulaye Doucouré,16.0,ml MLI,AM,27-179,90,0,0,0,0,2,0,1,0,44,0,1,4,0.1,0.1,0.0,2,0,22,35,62.9,5,27,1,2,1,Watford
Étienne Capoue,29.0,fr FRA,DM,31-353,90,0,0,0,0,0,0,0,0,57,3,3,0,0.0,0.0,0.0,0,0,36,49,73.5,5,31,0,1,1,Watford
Will Hughes,19.0,eng ENG,DM,25-072,72,0,0,0,0,3,0,0,0,44,2,2,0,0.1,0.1,0.0,1,0,25,32,78.1,1,28,1,2,1,Watford
Danny Welbeck,10.0,eng ENG,DM,29-215,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,4,0,0,0,Watford
Adam Masina,11.0,ma MAR,LB,26-178,73,0,0,0,0,0,0,0,0,56,1,1,2,0.0,0.0,0.0,0,0,25,47,53.2,5,33,0,0,0,Watford
José Holebas,25.0,gr GRE,LB,36-001,17,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,6,14,42.9,0,4,0,2,0,Watford
Craig Dawson,4.0,eng ENG,CB,30-053,90,0,0,0,0,1,0,1,0,47,0,2,2,0.1,0.1,0.2,1,0,30,38,78.9,1,30,0,0,0,Watford
Craig Cathcart,15.0,nir NIR,CB,31-143,90,0,0,0,0,0,0,1,0,57,3,3,0,0.0,0.0,0.0,0,0,37,48,77.1,2,31,0,0,0,Watford
Kiko Femenía,21.0,es ESP,RB,29-147,78,0,0,0,0,0,0,0,0,61,2,0,1,0.0,0.0,0.0,1,0,37,57,64.9,5,35,1,4,2,Watford
Ignacio Pussetto,33.0,ar ARG,RB,24-190,12,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,1,5,0,1,0,Watford
Ben Foster,26.0,eng ENG,GK,37-086,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,23,41,56.1,0,32,0,0,0,Watford
15 Players,,,,,990,0,0,0,0,8,0,3,0,549,13,14,10,0.5,0.5,0.2,9,0,298,455,65.5,32,338,6,19,10,Watford
Danny Ings,9.0,eng ENG,FW,27-341,90,2,0,0,0,2,2,0,0,49,1,2,1,0.1,0.1,0.2,6,2,21,36,58.3,3,37,2,7,4,Southampton
Shane Long,7.0,ie IRL,FW,33-158,74,0,0,0,0,1,1,0,0,27,2,0,0,0.1,0.1,0.0,1,0,7,17,41.2,1,20,3,0,0,Southampton
Che Adams,10.0,sct SCO,FW,23-351,16,0,0,0,0,2,1,0,0,6,0,0,0,0.4,0.4,0.0,3,1,3,3,100.0,2,6,2,1,1,Southampton
Nathan Redmond,22.0,eng ENG,LM,26-114,90,0,0,0,0,3,1,0,0,51,3,1,0,0.1,0.1,0.0,1,0,30,40,75.0,3,39,1,2,1,Southampton
Oriol Romeu,14.0,es ESP,CM,28-278,90,0,0,0,0,0,0,0,0,68,1,2,2,0.0,0.0,0.4,4,1,45,57,78.9,6,39,2,1,1,Southampton
