Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Karlan Grant,29.0,eng ENG,"FW,RM",23-093,82,0,0,0,0,0,0,1,0,33,0,0,0,0.0,0.0,0.0,0,0,15,19,78.9,0,24,2,4,2,West Bromwich Albion
Callum Robinson,7.0,ie IRL,FW,25-322,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,West Bromwich Albion
Grady Diangana,11.0,cd COD,LM,22-245,77,0,0,0,0,0,0,0,0,33,2,0,2,0.0,0.0,0.0,1,0,14,18,77.8,3,14,2,4,2,West Bromwich Albion
Branislav Ivanović,20.0,rs SRB,CB,36-302,13,0,0,0,0,0,0,0,0,7,0,3,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,West Bromwich Albion
Conor Gallagher,18.0,eng ENG,CM,20-318,90,0,0,0,0,0,0,0,0,40,4,1,2,0.0,0.0,0.0,0,0,26,28,92.9,0,21,1,0,0,West Bromwich Albion
Jake Livermore,8.0,eng ENG,CM,31-036,35,0,0,0,0,0,0,0,1,17,0,2,1,0.0,0.0,0.0,0,0,11,16,68.8,1,12,0,0,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,"RM,FW",29-282,76,0,0,0,0,1,1,0,0,24,0,0,1,0.0,0.0,0.0,1,0,10,16,62.5,2,17,1,4,2,West Bromwich Albion
Charlie Austin,15.0,eng ENG,RM,31-168,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,West Bromwich Albion
Romaine Sawyers,19.0,kn SKN,"CM,DM",29-048,90,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,0,0,34,42,81.0,6,24,0,2,1,West Bromwich Albion
