Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,32-299,71,0,1,0,0,1,0,0,0,22,3,0,0,0.1,0.1,0.5,2,1,8,14,57.1,1,16,1,3,1,West Ham United
Danny Ings,18.0,eng ENG,FW,30-182,19,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.2,1,0,3,5,60.0,1,5,0,1,0,West Ham United
Saïd Benrahma,22.0,dz ALG,AM,27-164,81,0,0,0,0,1,1,0,0,41,0,0,0,0.1,0.1,0.2,2,0,21,26,80.8,7,21,3,8,1,West Ham United
Flynn Downes,12.0,eng ENG,AM,24-001,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,3,1,0,0,West Ham United
Jarrod Bowen,20.0,eng ENG,AM,26-032,90,2,0,0,0,4,2,0,0,32,2,1,0,1.5,1.5,0.4,2,1,10,15,66.7,5,18,7,3,1,West Ham United
Declan Rice,41.0,eng ENG,CM,24-007,90,0,0,0,0,1,0,0,0,72,1,3,1,0.1,0.1,0.0,3,0,48,60,80.0,5,36,3,4,1,West Ham United
Lucas Paquetá,11.0,br BRA,CM,25-147,71,0,0,0,0,1,0,1,0,40,0,2,4,0.0,0.0,0.0,2,0,27,30,90.0,4,18,0,1,1,West Ham United
Tomáš Souček,28.0,cz CZE,CM,27-328,19,0,0,0,0,0,0,0,0,11,0,2,0,0.0,0.0,0.0,0,0,4,7,57.1,0,2,0,0,0,West Ham United
Emerson Palmieri,33.0,it ITA,WB,28-171,80,0,0,0,0,1,1,0,0,54,0,2,1,0.0,0.0,0.1,5,0,35,45,77.8,5,23,5,1,0,West Ham United
Ben Johnson,2.0,eng ENG,WB,22-362,10,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.1,2,0,2,7,28.6,0,3,1,1,1,West Ham United
Vladimír Coufal,5.0,cz CZE,WB,30-152,90,0,0,0,0,0,0,0,0,45,2,1,0,0.0,0.0,0.0,0,0,25,36,69.4,3,18,0,0,0,West Ham United
Nayef Aguerd,27.0,ma MAR,CB,26-297,90,0,0,0,0,1,0,0,0,68,5,0,0,0.4,0.4,0.0,0,0,42,49,85.7,4,35,1,1,1,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,34-243,90,0,0,0,0,0,0,0,0,50,1,1,0,0.0,0.0,0.0,0,0,30,33,90.9,0,24,0,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,28-086,90,0,0,0,0,1,0,0,0,45,0,0,1,0.1,0.1,0.0,1,1,27,34,79.4,0,15,0,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,37-278,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,7,15,46.7,0,7,0,0,0,West Ham United
15 Players,,,,,990,2,1,0,0,11,4,1,0,519,17,13,7,2.3,2.3,1.5,20,3,291,382,76.2,35,244,22,23,7,West Ham United
Dominic Calvert-Lewin,9.0,eng ENG,FW,25-311,90,0,0,0,0,1,0,0,0,23,0,0,0,0.3,0.3,0.0,0,0,8,15,53.3,2,15,1,3,0,Everton
Demarai Gray,11.0,jm JAM,"FW,AM",26-207,90,0,0,0,0,0,0,0,0,59,0,1,0,0.0,0.0,0.3,2,0,40,54,74.1,3,38,3,2,0,Everton
Alex Iwobi,17.0,ng NGA,"WB,AM",26-263,90,0,0,0,0,1,0,0,0,107,4,0,1,0.1,0.1,0.0,2,0,75,98,76.5,13,71,3,2,2,Everton
