Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,31-328,90,0,0,0,0,3,0,0,0,52,1,1,2,0.1,0.1,0.0,2,1,22,37,59.5,2,27,3,3,1,West Ham United
Pablo Fornals,8.0,es ESP,LW,25-362,90,0,0,0,0,2,0,1,0,55,2,1,1,0.1,0.1,0.0,1,0,32,43,74.4,4,25,1,1,0,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,25-061,90,0,0,0,0,2,2,1,0,25,0,0,0,0.0,0.0,0.0,1,0,7,16,43.8,1,11,3,1,0,West Ham United
Saïd Benrahma,22.0,dz ALG,AM,26-193,72,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.1,3,0,19,26,73.1,3,20,2,0,0,West Ham United
Nikola Vlašić,11.0,hr CRO,AM,24-138,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,1,0,8,9,88.9,0,6,1,0,0,West Ham United
Declan Rice,41.0,eng ENG,DM,23-036,90,0,0,0,0,0,0,0,0,75,4,0,0,0.0,0.0,0.1,5,0,61,64,95.3,9,45,5,2,2,West Ham United
Tomáš Souček,28.0,cz CZE,DM,26-357,90,0,0,0,0,1,0,0,0,40,1,2,1,0.0,0.0,0.1,2,0,19,25,76.0,2,17,1,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,32-066,90,0,1,0,0,1,0,0,0,68,0,1,1,0.0,0.0,0.2,1,1,53,64,82.8,8,34,0,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,27-115,90,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.0,0,0,37,46,80.4,2,30,2,0,0,West Ham United
Craig Dawson,15.0,eng ENG,CB,31-289,90,1,0,0,0,2,1,0,0,49,0,1,1,0.2,0.2,0.0,0,0,22,36,61.1,3,29,1,0,0,West Ham United
Ryan Fredericks,24.0,eng ENG,RB,29-132,45,0,0,0,0,0,0,1,0,22,0,0,1,0.0,0.0,0.0,1,0,10,18,55.6,2,6,0,0,0,West Ham United
Ben Johnson,31.0,eng ENG,RB,22-026,45,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,16,28,57.1,1,16,2,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-307,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,13,22,59.1,0,16,0,0,0,West Ham United
13 Players,,,,,990,1,1,0,0,11,3,3,0,552,11,7,9,0.6,0.6,0.5,17,2,319,434,73.5,37,282,21,7,3,West Ham United
Chris Wood,20.0,nz NZL,FW,30-074,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,3,0,12,22,54.5,0,6,0,0,0,Newcastle United
Jacob Murphy,23.0,eng ENG,LW,26-360,90,0,0,0,0,3,0,0,0,49,2,1,0,0.2,0.2,0.1,4,1,19,34,55.9,4,30,7,2,1,Newcastle United
Ryan Fraser,21.0,sct SCO,RW,27-360,78,0,0,0,0,1,0,1,0,36,0,0,0,0.1,0.1,0.0,4,0,23,30,76.7,2,16,2,0,0,Newcastle United
Miguel Almirón,24.0,py PAR,RW,28-009,12,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,1,0,0,0,Newcastle United
Joelinton,7.0,br BRA,"LM,CM",25-189,90,0,0,0,0,2,1,0,0,52,1,0,2,0.1,0.1,0.1,2,0,41,44,93.2,5,23,3,1,1,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,29-357,90,0,0,0,0,0,0,0,0,55,1,2,1,0.0,0.0,0.0,0,0,44,48,91.7,9,31,2,0,0,Newcastle United
Joe Willock,28.0,eng ENG,RM,22-183,87,1,0,0,0,5,1,0,0,46,2,1,2,0.3,0.3,0.0,1,0,22,26,84.6,0,25,2,6,4,Newcastle United
Bruno Guimarães,39.0,br BRA,CM,24-095,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,5,1,0,0,Newcastle United
Matt Targett,13.0,eng ENG,LB,26-154,90,0,0,0,0,0,0,0,0,79,2,1,2,0.0,0.0,0.2,5,0,45,69,65.2,6,24,3,1,1,Newcastle United
Dan Burn,33.0,eng ENG,CB,29-286,90,0,0,0,0,1,0,1,0,78,2,1,3,0.1,0.1,0.0,0,0,49,61,80.3,3,43,1,0,0,Newcastle United
Fabian Schär,5.0,ch SUI,CB,30-061,90,0,0,0,0,2,1,0,0,64,1,0,0,0.1,0.1,0.1,3,0,46,59,78.0,3,49,1,0,0,Newcastle United
Emil Krafth,17.0,se SWE,RB,27-201,90,0,0,0,0,0,0,1,0,52,0,0,2,0.0,0.0,0.0,2,1,29,44,65.9,2,22,4,0,0,Newcastle United
Martin Dúbravka,1.0,sk SVK,GK,33-035,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,38,78.9,0,25,0,0,0,Newcastle United
13 Players,,,,,990,1,0,0,0,14,3,3,0,592,12,6,13,0.8,0.8,0.5,24,2,366,486,75.3,35,300,26,10,7,Newcastle United
