Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Daniel Podence,10.0,pt POR,FW,26-059,78,0,0,0,0,3,0,0,0,37,2,0,0,0.1,0.1,0.2,2,0,20,29,69.0,3,24,2,2,0,Wolverhampton Wanderers
Adama Traoré,37.0,es ESP,FW,25-328,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,FW,30-228,88,0,0,0,0,0,0,0,0,41,1,1,2,0.0,0.0,0.0,1,0,22,28,78.6,1,21,0,3,1,Wolverhampton Wanderers
Francisco Trincão,11.0,pt POR,FW,21-355,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,35-102,90,0,0,0,0,0,0,0,0,67,1,1,3,0.0,0.0,0.0,2,0,39,52,75.0,5,27,2,0,0,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,24-281,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.0,0,0,46,62,74.2,2,26,0,0,0,Wolverhampton Wanderers
Leander Dendoncker,32.0,be BEL,CM,26-248,90,0,0,0,0,1,1,0,0,44,4,0,6,0.2,0.2,0.0,0,0,24,29,82.8,4,14,0,1,0,Wolverhampton Wanderers
Fernando Marçal,5.0,br BRA,WB,32-303,90,0,0,0,0,0,0,0,0,57,1,2,3,0.0,0.0,0.0,0,0,29,41,70.7,1,22,0,1,0,Wolverhampton Wanderers
Ki-Jana Hoever,2.0,nl NED,WB,19-335,90,0,0,0,0,0,0,0,0,59,3,3,2,0.0,0.0,0.0,0,0,31,47,66.0,0,19,2,2,2,Wolverhampton Wanderers
Romain Saïss,27.0,ma MAR,CB,31-268,90,0,0,0,0,0,0,0,0,66,3,5,3,0.0,0.0,0.0,1,0,37,50,74.0,5,38,1,0,0,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,28-297,90,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.0,0,0,40,42,95.2,0,23,0,0,0,Wolverhampton Wanderers
Max Kilman,23.0,eng ENG,CB,24-210,90,0,0,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.0,0,0,51,55,92.7,1,39,0,1,1,Wolverhampton Wanderers
José Sá,1.0,pt POR,GK,28-336,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,22,35,62.9,0,18,0,0,0,Wolverhampton Wanderers
13 Players,,,,,990,0,0,0,0,4,1,0,0,586,17,13,22,0.2,0.2,0.2,6,0,361,471,76.6,22,272,7,10,4,Wolverhampton Wanderers
Christian Pulisic,10.0,us USA,FW,23-092,90,0,0,0,0,1,1,0,0,29,0,0,0,0.4,0.4,0.0,1,0,14,24,58.3,2,20,3,3,1,Chelsea
Hakim Ziyech,22.0,ma MAR,AM,28-275,64,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.0,1,0,23,32,71.9,2,27,1,6,4,Chelsea
Mateo Kovačić,8.0,hr CRO,AM,27-227,26,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,0,0,22,26,84.6,2,21,1,1,1,Chelsea
