Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jørgen Strand Larsen,9.0,no NOR,FW,25-191,81,0,0,0,0,4,2,0,0,27,1,0,1,0.4,0.4,0.0,0,0,12,17,70.6,1,19,0,0,0,Wolverhampton Wanderers
Hwang Hee-chan,11.0,kr KOR,FW,29-202,9,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,1,0,1,1,100.0,0,1,1,0,0,Wolverhampton Wanderers
Jean-Ricner Bellegarde,27.0,ht HAI,LW,27-050,72,0,0,0,0,1,0,0,0,33,2,1,0,0.0,0.0,0.1,2,0,22,27,81.5,4,16,2,1,0,Wolverhampton Wanderers
Jhon Arias,10.0,co COL,LW,27-329,18,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.1,2,0,7,10,70.0,1,6,0,0,0,Wolverhampton Wanderers
Marshall Munetsi,5.0,zw ZIM,RW,29-055,90,0,0,0,0,1,0,0,0,22,2,0,0,0.1,0.1,0.0,2,0,9,14,64.3,1,14,1,2,2,Wolverhampton Wanderers
David Møller Wolfe,6.0,no NOR,LM,23-115,71,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,14,28,50.0,2,13,1,0,0,Wolverhampton Wanderers
Hugo Bueno,3.0,es ESP,LM,22-332,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,12,4,3,1,Wolverhampton Wanderers
João Gomes,8.0,br BRA,CM,24-185,90,0,0,0,0,0,0,0,0,65,4,1,2,0.0,0.0,0.0,2,0,52,57,91.2,3,37,1,1,1,Wolverhampton Wanderers
André,7.0,br BRA,CM,24-031,71,0,0,0,0,0,0,0,0,40,4,1,3,0.0,0.0,0.0,1,0,29,30,96.7,2,25,0,1,0,Wolverhampton Wanderers
Fer López,28.0,es ESP,CM,21-084,19,0,0,0,0,2,1,0,0,10,0,0,1,0.1,0.1,0.0,2,0,4,5,80.0,2,6,1,0,0,Wolverhampton Wanderers
Ki-Jana Hoever,26.0,nl NED,RM,23-210,72,0,0,0,0,0,0,0,0,48,2,1,0,0.0,0.0,0.1,1,0,22,38,57.9,2,26,0,1,0,Wolverhampton Wanderers
Rodrigo Gomes,21.0,pt POR,RM,22-040,18,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,0,Wolverhampton Wanderers
Toti Gomes,24.0,pt POR,CB,26-212,90,0,0,0,0,0,0,0,0,63,2,0,0,0.0,0.0,0.0,1,0,51,59,86.4,1,49,1,1,1,Wolverhampton Wanderers
Emmanuel Agbadou,12.0,ci CIV,CB,28-060,90,0,0,0,0,1,0,0,0,70,2,0,1,0.0,0.0,0.0,1,0,51,61,83.6,1,51,0,0,0,Wolverhampton Wanderers
Matt Doherty,2.0,ie IRL,CB,33-212,90,0,0,0,0,0,0,1,0,54,3,1,1,0.0,0.0,0.0,2,0,41,47,87.2,3,29,0,0,0,Wolverhampton Wanderers
José Sá,1.0,pt POR,GK,32-211,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,21,26,80.8,0,16,0,0,0,Wolverhampton Wanderers
16 Players,,,,,990,0,0,0,0,9,3,1,0,542,25,6,11,0.6,0.6,0.4,18,0,354,445,79.6,23,327,12,11,5,Wolverhampton Wanderers
Erling Haaland,9.0,no NOR,FW,25-026,72,2,0,0,0,6,2,0,0,13,1,0,0,2.0,2.0,0.0,0,0,2,4,50.0,0,6,0,1,0,Manchester City
Rayan Cherki,10.0,fr FRA,FW,21-364,18,1,0,0,0,1,1,0,0,22,0,1,0,0.1,0.1,0.0,1,0,18,20,90.0,2,12,2,0,0,Manchester City
Jeremy Doku,11.0,be BEL,LW,23-081,65,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,2,0,18,22,81.8,1,22,2,3,1,Manchester City
Omar Marmoush,7.0,eg EGY,LW,26-190,25,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,2,0,5,6,83.3,0,7,0,2,0,Manchester City
Oscar Bobb,52.0,no NOR,RW,22-035,90,0,1,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.2,4,3,31,34,91.2,6,29,3,5,3,Manchester City
Bernardo Silva,20.0,pt POR,LM,31-006,65,0,0,0,0,0,0,0,0,53,4,0,1,0.0,0.0,1.0,5,0,39,44,88.6,3,23,0,1,0,Manchester City
Nico O’Reilly,33.0,eng ENG,LM,20-148,25,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,0,10,1,0,0,Manchester City
Nicolás González,14.0,es ESP,CM,23-225,90,0,0,0,0,2,0,0,0,89,3,1,2,0.1,0.1,0.0,4,1,72,78,92.3,9,47,2,5,4,Manchester City
Tijjani Reijnders,4.0,nl NED,RM,27-018,90,1,1,0,0,3,1,1,0,76,1,0,1,0.2,0.2,0.1,2,2,53,60,88.3,6,46,5,3,1,Manchester City
